region,province,city,position,rank,candidate_name,party,votes,percentage
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,1210,0.67 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,353,0.2 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,366,0.2 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,301,0.17 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,3255,1.81 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,340,0.19 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,387,0.22 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,381,0.21 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,2378,1.32 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,8901,4.95 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,6039,3.36 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,1415,0.79 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,353,0.2 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,219,0.12 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,498,0.28 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,331,0.18 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,643,0.36 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,4559,2.54 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,19,"D'ANGELO, DAVID",BUNYOG,253,0.14 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,20,"DE ALBAN,ATTORNEY ANGELO",IND,474,0.26 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,21,"DE GUZMAN, KA LEODY",PLM,449,0.25 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,22,"DELA ROSA, BATO",PDPLBN,16418,9.14 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,23,"DORINGO, NANAY MIMI",MKBYN,295,0.16 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,24,"ESCOBAL, ARNEL",PM,262,0.15 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,25,"ESPIRITU, LUKE",PLM,541,0.3 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,26,"FLORANDA, MODY PISTON",MKBYN,262,0.15 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,27,"GAMBOA, MARC LOUIE",IND,381,0.21 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,28,"GO, BONG GO",PDPLBN,17844,9.93 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,29,"GONZALES, NORBERTO",PDSP,389,0.22 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,30,"HINLO, JAYVEE",PDPLBN,6451,3.59 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,31,"HONASAN, GRINGO",RP,2101,1.17 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,32,"JOSE, RELLY JR.",KBL,227,0.13 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,33,"LACSON, PING",IND,3496,1.95 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,34,"LAMBINO, RAUL",PDPLBN,6745,3.75 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,35,"LAPID, LITO",NPC,6281,3.49 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,36,"LEE, MANOY WILBERT",AKSYON,181,0.1 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,37,"LIDASAN, AMIRAH",MKBYN,152,0.08 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,38,"MARCOLETA, RODANTE",IND,10178,5.66 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,39,"MARCOS, IMEE R.",NP,3475,1.93 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,40,"MARQUEZ, NORMAN",IND,364,0.2 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,41,"MARTINEZ, ERIC",IND,352,0.2 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,42,"MATA, DOC MARITES",IND,4592,2.56 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,43,"MATULA, ATTY. SONNY",WPP,460,0.26 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,44,"MAZA, LIZA",MKBYN,280,0.16 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,45,"MENDOZA, HEIDI",IND,786,0.44 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,46,"MONTEMAYOR, JOEY",IND,283,0.16 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,47,"MUSTAPHA, SUBAIR",WPP,126,0.07 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,48,"OLIVAR, JOSE JESSIE",IND,227,0.13 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,49,"ONG, DOC WILLIE",AKSYON,1666,0.93 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,50,"PACQUIAO, MANNY PACMAN",PFP,3094,1.72 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,51,"PANGILINAN, KIKO",LP,2011,1.12 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,52,"QUERUBIN, ARIEL PORFIRIO",NP,1645,0.92 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,53,"QUIBOLOY, APOLLO",IND,8220,4.57 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,54,"RAMOS, DANILO",MKBYN,427,0.24 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,55,"REVILLAME, WILLIE WIL",IND,5245,2.92 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,56,"RODRIGUEZ, ATTY. VIC",IND,6407,3.56 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,57,"SAHIDULLA, NUR-ANA",IND,673,0.37 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,58,"SALVADOR, PHILLIP IPE",PDPLBN,10780,6 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,59,"SOTTO, TITO",NPC,2151,1.2 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,60,"TAPADO, MICHAEL BONGBONG",PM,353,0.2 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,61,"TOLENTINO, FRANCIS TOL",PFP,952,0.53 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,62,"TULFO, BEN BITAG",IND,4289,2.39 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,63,"TULFO, ERWIN",LAKAS,7243,4.03 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,64,"VALBUENA, MAR MANIBELA",IND,306,0.17 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,65,"VERCELES, LEANDRO",IND,132,0.07 %
REGION XI,DAVAO ORIENTAL,MANAY,SENATOR of PHILIPPINES,66,"VILLAR, CAMILLE",NP,7878,4.38 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,1 4PS,,1255,8.15 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,2 PPP,,1088,7.07 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,3 FPJ PANDAY BAYANIHAN,,109,0.71 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,4 KABATAAN,,80,0.52 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,5 DUTERTE YOUTH,,2529,16.42 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,6 ML,,35,0.23 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,7 PBBM,,48,0.31 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,8 P3PWD,,27,0.18 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,9 MURANG KURYENTE,,49,0.32 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,10 BICOL SARO,,20,0.13 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,11 IPATUPAD,,32,0.21 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,12 PATROL,,14,0.09 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,13 JUAN PINOY,,13,0.08 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,14 ARTE,,2,0.01 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,15 WIFI,,34,0.22 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,16 MAAGAP,,449,2.92 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,17 UNITED SENIOR CITIZENS,,179,1.16 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,18 EPANAW SAMBAYANAN,,46,0.3 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,19 AKO PADAYON,,7,0.05 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,20 TUCP,,24,0.16 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,21 ACT TEACHERS,,65,0.42 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,22 1PACMAN,,27,0.18 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,23 TGP,,30,0.19 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,24 DUMPER PTDA,,40,0.26 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,25 ANAKALUSUGAN,,6,0.04 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,26 AKSYON DAPAT,,18,0.12 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,27 BHW,,149,0.97 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,28 SULONG DIGNIDAD,,5,0.03 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,29 BATANG QUIAPO,,30,0.19 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,30 PBA,,65,0.42 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,31 GILAS,,7,0.05 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,32 AKO ILOCANO AKO,,2,0.01 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,33 PAMILYANG MAGSASAKA,,55,0.36 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,34 CLICK PARTY,,3,0.02 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,35 ABANTE BISDAK,,9,0.06 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,36 MANILA TEACHERS,,22,0.14 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,37 PAMANA,,1,0.01 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,38 NANAY,,14,0.09 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,39 KM NGAYON NA,,2,0.01 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,40 BABAE AKO,,61,0.4 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,41 ARISE,,1,0.01 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,42 MAGDALO,,9,0.06 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,43 APEC,,191,1.24 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,44 MAGBUBUKID,,200,1.3 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,45 SSS-GSIS PENSYONADO,,35,0.23 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,46 GABRIELA,,25,0.16 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,47 TINGOG,,441,2.86 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,48 APAT-DAPAT,,11,0.07 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,49 AHON MAHIRAP,,25,0.16 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,50 UGB,,8,0.05 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,51 AKBAYAN,,123,0.8 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,52 AGIMAT,,17,0.11 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,53 PHILRECA,,3,0.02 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,54 KAPUSO PM,,7,0.05 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,55 ILOCANO DEFENDERS,,5,0.03 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,56 1-RIDER PARTY-LIST,,23,0.15 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,57 TICTOK,,7,0.05 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,59 BAYAN MUNA,,27,0.18 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,60 ANG PROBINSIYANO,,26,0.17 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,61 BANAT,,2,0.01 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,62 SBP,,4,0.03 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,63 BUHAY,,63,0.41 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,64 TULUNGAN TAYO,,11,0.07 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,65 SAGIP,,15,0.1 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,66 BTS BAYANING TSUPER,,6,0.04 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,67 VENDORS,,12,0.08 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,68 ACT-CIS,,481,3.12 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,69 AKTIBONG KAAGAPAY,,4,0.03 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,70 ASENSO PINOY,,31,0.2 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,71 SOLO PARENTS,,15,0.1 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,72 ANG KOMADRONA,,1,0.01 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,73 PROMDI,,2,0.01 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,74 PUSONG PINOY,,11,0.07 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,75 KUSUG TAUSUG,,4,0.03 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,76 DAMAYANG FILIPINO,,3,0.02 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,77 MPBL,,9,0.06 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,78 ANGAT,,58,0.38 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,79 KALINGA,,24,0.16 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,80 BOSES PARTY-LIST,,70,0.45 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,81 ARANGKADA PILIPINO,,34,0.22 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,82 AANGAT TAYO,,125,0.81 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,83 OFW,,89,0.58 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,84 BIDA KATAGUMPAY,,5,0.03 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,85 KAMANGGAGAWA,,100,0.65 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,86 BFF,,4,0.03 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,87 BUNYOG,,9,0.06 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,88 AGRI,,23,0.15 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,89 SENIOR CITIZENS,,162,1.05 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,90 4K,,1,0.01 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,91 PBP,,48,0.31 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,92 ONE COOP,,3,0.02 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,93 CIBAC,,44,0.29 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,94 BH - BAGONG HENERASYON,,30,0.19 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,95 1AGILA,,78,0.51 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,96 EDUAKSYON,,111,0.72 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,97 ANG TINIG NG SENIORS,,19,0.12 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,98 BG PARTY-LIST,,42,0.27 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,99 PINOY AKO,,19,0.12 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,100 H.E.L.P,PILIPINAS,,49,0.32 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,101 HEALTH WORKERS,,46,0.3 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,102 PEOPLE'S CHAMP,,8,0.05 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,103 AA-KASOSYO PARTY,,1,0.01 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,104 SOLID NORTH PARTY,,10,0.06 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,105 ABAMIN,,7,0.05 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,106 TRABAHO,,52,0.34 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,107 ANGKASANGGA,,6,0.04 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,108 TODA AKSYON,,18,0.12 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,109 TURISMO,,3513,22.81 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,110 ABONO,,10,0.06 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,111 ASAP NA,,6,0.04 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,112 LINGAP,,37,0.24 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,113 UNITED FRONTLINERS,,5,0.03 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,114 KASAMBAHAY,,3,0.02 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,115 TUTOK TO WIN,,7,0.05 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,116 AKO OFW,,11,0.07 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,117 AGAP,,41,0.27 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,118 1TAHANAN,,107,0.69 %
REGION XI,DAVAO ORIENTAL,MANAY,PARTY LIST of PHILIPPINES,,119 COOP-NATCCO,,213,1.38 %
