region,province,city,position,rank,candidate_name,party,votes,percentage
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,2878,0.97 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,499,0.17 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,473,0.16 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,327,0.11 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,6658,2.24 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,597,0.2 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,521,0.18 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,594,0.2 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,4870,1.64 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,16771,5.64 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,7412,2.49 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,3307,1.11 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,544,0.18 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,330,0.11 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,1138,0.38 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,633,0.21 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,731,0.25 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,5994,2.01 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,19,"D'ANGELO, DAVID",BUNYOG,303,0.1 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,20,"DE ALBAN,ATTORNEY ANGELO",IND,732,0.25 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,21,"DE GUZMAN, KA LEODY",PLM,849,0.29 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,22,"DELA ROSA, BATO",PDPLBN,28363,9.53 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,23,"DORINGO, NANAY MIMI",MKBYN,409,0.14 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,24,"ESCOBAL, ARNEL",PM,775,0.26 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,25,"ESPIRITU, LUKE",PLM,978,0.33 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,26,"FLORANDA, MODY PISTON",MKBYN,311,0.1 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,27,"GAMBOA, MARC LOUIE",IND,401,0.13 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,28,"GO, BONG GO",PDPLBN,28797,9.68 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,29,"GONZALES, NORBERTO",PDSP,666,0.22 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,30,"HINLO, JAYVEE",PDPLBN,11644,3.91 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,31,"HONASAN, GRINGO",RP,3925,1.32 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,32,"JOSE, RELLY JR.",KBL,318,0.11 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,33,"LACSON, PING",IND,7216,2.43 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,34,"LAMBINO, RAUL",PDPLBN,12628,4.24 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,35,"LAPID, LITO",NPC,9535,3.21 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,36,"LEE, MANOY WILBERT",AKSYON,302,0.1 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,37,"LIDASAN, AMIRAH",MKBYN,496,0.17 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,38,"MARCOLETA, RODANTE",IND,15876,5.34 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,39,"MARCOS, IMEE R.",NP,6569,2.21 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,40,"MARQUEZ, NORMAN",IND,528,0.18 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,41,"MARTINEZ, ERIC",IND,689,0.23 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,42,"MATA, DOC MARITES",IND,9116,3.06 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,43,"MATULA, ATTY. SONNY",WPP,670,0.23 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,44,"MAZA, LIZA",MKBYN,518,0.17 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,45,"MENDOZA, HEIDI",IND,2272,0.76 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,46,"MONTEMAYOR, JOEY",IND,490,0.16 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,47,"MUSTAPHA, SUBAIR",WPP,516,0.17 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,48,"OLIVAR, JOSE JESSIE",IND,393,0.13 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,49,"ONG, DOC WILLIE",AKSYON,2819,0.95 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,50,"PACQUIAO, MANNY PACMAN",PFP,6045,2.03 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,51,"PANGILINAN, KIKO",LP,4200,1.41 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,52,"QUERUBIN, ARIEL PORFIRIO",NP,3039,1.02 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,53,"QUIBOLOY, APOLLO",IND,9996,3.36 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,54,"RAMOS, DANILO",MKBYN,806,0.27 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,55,"REVILLAME, WILLIE WIL",IND,8373,2.81 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,56,"RODRIGUEZ, ATTY. VIC",IND,9613,3.23 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,57,"SAHIDULLA, NUR-ANA",IND,1296,0.44 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,58,"SALVADOR, PHILLIP IPE",PDPLBN,17035,5.73 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,59,"SOTTO, TITO",NPC,6849,2.3 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,60,"TAPADO, MICHAEL BONGBONG",PM,502,0.17 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,61,"TOLENTINO, FRANCIS TOL",PFP,2207,0.74 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,62,"TULFO, BEN BITAG",IND,5697,1.92 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,63,"TULFO, ERWIN",LAKAS,7954,2.67 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,64,"VALBUENA, MAR MANIBELA",IND,425,0.14 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,65,"VERCELES, LEANDRO",IND,193,0.06 %
REGION XII,COTABATO,MATALAM,SENATOR of PHILIPPINES,66,"VILLAR, CAMILLE",NP,9881,3.32 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,1 4PS,,1617,5.97 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,2 PPP,,551,2.03 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,3 FPJ PANDAY BAYANIHAN,,136,0.5 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,4 KABATAAN,,181,0.67 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,5 DUTERTE YOUTH,,3534,13.05 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,6 ML,,38,0.14 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,7 PBBM,,75,0.28 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,8 P3PWD,,82,0.3 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,9 MURANG KURYENTE,,110,0.41 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,10 BICOL SARO,,23,0.08 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,11 IPATUPAD,,59,0.22 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,12 PATROL,,17,0.06 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,13 JUAN PINOY,,19,0.07 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,14 ARTE,,11,0.04 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,15 WIFI,,52,0.19 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,16 MAAGAP,,22,0.08 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,17 UNITED SENIOR CITIZENS,,318,1.17 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,18 EPANAW SAMBAYANAN,,103,0.38 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,19 AKO PADAYON,,23,0.08 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,20 TUCP,,7350,27.14 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,21 ACT TEACHERS,,108,0.4 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,22 1PACMAN,,54,0.2 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,23 TGP,,56,0.21 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,24 DUMPER PTDA,,1178,4.35 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,25 ANAKALUSUGAN,,8,0.03 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,26 AKSYON DAPAT,,12,0.04 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,27 BHW,,118,0.44 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,28 SULONG DIGNIDAD,,7,0.03 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,29 BATANG QUIAPO,,37,0.14 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,30 PBA,,34,0.13 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,31 GILAS,,7,0.03 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,32 AKO ILOCANO AKO,,21,0.08 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,33 PAMILYANG MAGSASAKA,,88,0.32 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,34 CLICK PARTY,,4,0.01 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,35 ABANTE BISDAK,,14,0.05 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,36 MANILA TEACHERS,,47,0.17 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,37 PAMANA,,37,0.14 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,38 NANAY,,25,0.09 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,39 KM NGAYON NA,,18,0.07 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,40 BABAE AKO,,104,0.38 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,41 ARISE,,36,0.13 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,42 MAGDALO,,15,0.06 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,43 APEC,,25,0.09 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,44 MAGBUBUKID,,169,0.62 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,45 SSS-GSIS PENSYONADO,,54,0.2 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,46 GABRIELA,,45,0.17 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,47 TINGOG,,28,0.1 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,48 APAT-DAPAT,,42,0.16 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,49 AHON MAHIRAP,,39,0.14 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,50 UGB,,16,0.06 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,51 AKBAYAN,,193,0.71 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,52 AGIMAT,,20,0.07 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,53 PHILRECA,,839,3.1 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,54 KAPUSO PM,,13,0.05 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,55 ILOCANO DEFENDERS,,14,0.05 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,56 1-RIDER PARTY-LIST,,53,0.2 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,57 TICTOK,,8,0.03 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,59 BAYAN MUNA,,51,0.19 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,60 ANG PROBINSIYANO,,33,0.12 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,61 BANAT,,20,0.07 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,62 SBP,,0,0 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,63 BUHAY,,13,0.05 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,64 TULUNGAN TAYO,,19,0.07 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,65 SAGIP,,22,0.08 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,66 BTS BAYANING TSUPER,,6,0.02 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,67 VENDORS,,17,0.06 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,68 ACT-CIS,,319,1.18 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,69 AKTIBONG KAAGAPAY,,6,0.02 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,70 ASENSO PINOY,,653,2.41 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,71 SOLO PARENTS,,50,0.18 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,72 ANG KOMADRONA,,2,0.01 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,73 PROMDI,,1,0 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,74 PUSONG PINOY,,12,0.04 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,75 KUSUG TAUSUG,,4,0.01 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,76 DAMAYANG FILIPINO,,9,0.03 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,77 MPBL,,10,0.04 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,78 ANGAT,,61,0.23 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,79 KALINGA,,20,0.07 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,80 BOSES PARTY-LIST,,57,0.21 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,81 ARANGKADA PILIPINO,,187,0.69 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,82 AANGAT TAYO,,193,0.71 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,83 OFW,,187,0.69 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,84 BIDA KATAGUMPAY,,12,0.04 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,85 KAMANGGAGAWA,,68,0.25 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,86 BFF,,5,0.02 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,87 BUNYOG,,14,0.05 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,88 AGRI,,66,0.24 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,89 SENIOR CITIZENS,,447,1.65 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,90 4K,,8,0.03 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,91 PBP,,84,0.31 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,92 ONE COOP,,26,0.1 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,93 CIBAC,,45,0.17 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,94 BH - BAGONG HENERASYON,,52,0.19 %
REGION XII,COTABATO,MATALAM,PARTY LIST of PHILIPPINES,,95 1AGILA,,62,0.23 %
