region,province,city,position,rank,candidate_name,party,votes,percentage
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,1585,0.73 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,390,0.18 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,407,0.19 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,294,0.13 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,5202,2.38 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,676,0.31 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,444,0.2 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,595,0.27 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,2473,1.13 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,14115,6.47 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,3415,1.56 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,2682,1.23 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,712,0.33 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,307,0.14 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,602,0.28 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,817,0.37 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,796,0.36 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,4403,2.02 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,19,"D'ANGELO, DAVID",BUNYOG,219,0.1 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,20,"DE ALBAN,ATTORNEY ANGELO",IND,711,0.33 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,21,"DE GUZMAN, KA LEODY",PLM,783,0.36 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,22,"DELA ROSA, BATO",PDPLBN,19373,8.88 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,23,"DORINGO, NANAY MIMI",MKBYN,310,0.14 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,24,"ESCOBAL, ARNEL",PM,534,0.24 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,25,"ESPIRITU, LUKE",PLM,1197,0.55 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,26,"FLORANDA, MODY PISTON",MKBYN,192,0.09 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,27,"GAMBOA, MARC LOUIE",IND,364,0.17 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,28,"GO, BONG GO",PDPLBN,20670,9.47 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,29,"GONZALES, NORBERTO",PDSP,469,0.21 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,30,"HINLO, JAYVEE",PDPLBN,11394,5.22 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,31,"HONASAN, GRINGO",RP,3329,1.53 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,32,"JOSE, RELLY JR.",KBL,297,0.14 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,33,"LACSON, PING",IND,3023,1.38 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,34,"LAMBINO, RAUL",PDPLBN,11986,5.49 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,35,"LAPID, LITO",NPC,4247,1.95 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,36,"LEE, MANOY WILBERT",AKSYON,255,0.12 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,37,"LIDASAN, AMIRAH",MKBYN,181,0.08 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,38,"MARCOLETA, RODANTE",IND,12499,5.73 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,39,"MARCOS, IMEE R.",NP,5108,2.34 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,40,"MARQUEZ, NORMAN",IND,595,0.27 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,41,"MARTINEZ, ERIC",IND,544,0.25 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,42,"MATA, DOC MARITES",IND,7544,3.46 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,43,"MATULA, ATTY. SONNY",WPP,937,0.43 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,44,"MAZA, LIZA",MKBYN,685,0.31 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,45,"MENDOZA, HEIDI",IND,1749,0.8 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,46,"MONTEMAYOR, JOEY",IND,397,0.18 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,47,"MUSTAPHA, SUBAIR",WPP,212,0.1 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,48,"OLIVAR, JOSE JESSIE",IND,346,0.16 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,49,"ONG, DOC WILLIE",AKSYON,2898,1.33 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,50,"PACQUIAO, MANNY PACMAN",PFP,3096,1.42 %
REGION XIII,SURIGAO DEL NORTE,CLAVER,SENATOR of PHILIPPINES,51,"PANGILINAN, KIKO",LP,3300,1.51 %
