region,province,city,position,rank,candidate_name,party,votes,percentage
REGION XIII,SURIGAO DEL SUR,SAN MIGUEL,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,1352,0.86 %
REGION XIII,SURIGAO DEL SUR,SAN MIGUEL,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,437,0.28 %
REGION XIII,SURIGAO DEL SUR,SAN MIGUEL,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,335,0.21 %
REGION XIII,SURIGAO DEL SUR,SAN MIGUEL,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,302,0.19 %
REGION XIII,SURIGAO DEL SUR,SAN MIGUEL,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,4116,2.62 %
REGION XIII,SURIGAO DEL SUR,SAN MIGUEL,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,409,0.26 %
REGION XIII,SURIGAO DEL SUR,SAN MIGUEL,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,330,0.21 %
REGION XIII,SURIGAO DEL SUR,SAN MIGUEL,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,424,0.27 %
REGION XIII,SURIGAO DEL SUR,SAN MIGUEL,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,2287,1.46 %
REGION XIII,SURIGAO DEL SUR,SAN MIGUEL,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,8821,5.61 %
REGION XIII,SURIGAO DEL SUR,SAN MIGUEL,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,4435,2.82 %
REGION XIII,SURIGAO DEL SUR,SAN MIGUEL,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,1284,0.82 %
REGION XIII,SURIGAO DEL SUR,SAN MIGUEL,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,350,0.22 %
REGION XIII,SURIGAO DEL SUR,SAN MIGUEL,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,291,0.19 %
