region,province,city,position,rank,candidate_name,party,votes,percentage
BARMM,MAGUINDANAO DEL NORTE,SULTAN KUDARAT,SENATOR,1,"ABALOS, BENHUR",PFP,10941,3.02 %
BARMM,MAGUINDANAO DEL NORTE,SULTAN KUDARAT,SENATOR,2,"ADONIS, JEROME",MKBYN,425,0.12 %
BARMM,MAGUINDANAO DEL NORTE,SULTAN KUDARAT,SENATOR,3,"AMAD, WILSON",IND,619,0.17 %
BARMM,MAGUINDANAO DEL NORTE,SULTAN KUDARAT,SENATOR,4,"ANDAMO, NARS ALYN",MKBYN,314,0.09 %
BARMM,MAGUINDANAO DEL NORTE,SULTAN KUDARAT,SENATOR,5,"AQUINO, BAM",KNP,7646,2.11 %
BARMM,MAGUINDANAO DEL NORTE,SULTAN KUDARAT,SENATOR,6,"ARAMBULO, RONNEL",MKBYN,582,0.16 %
BARMM,MAGUINDANAO DEL NORTE,SULTAN KUDARAT,SENATOR,7,"ARELLANO, ERNESTO",KTPNAN,372,0.1 %
BARMM,MAGUINDANAO DEL NORTE,SULTAN KUDARAT,SENATOR,8,"BALLON, ROBERTO",IND,610,0.17 %
BARMM,MAGUINDANAO DEL NORTE,SULTAN KUDARAT,SENATOR,9,"BINAY, ABBY",NPC,10097,2.78 %
BARMM,MAGUINDANAO DEL NORTE,SULTAN KUDARAT,SENATOR,10,"BONDOC, JIMMY",PDPLBN,19357,5.34 %
BARMM,MAGUINDANAO DEL NORTE,SULTAN KUDARAT,SENATOR,11,"BONG REVILLA,RAMON, JR.",LAKAS,9892,2.73 %
BARMM,MAGUINDANAO DEL NORTE,SULTAN KUDARAT,SENATOR,12,"BOSITA, COLONEL",IND,4063,1.12 %
BARMM,MAGUINDANAO DEL NORTE,SULTAN KUDARAT,SENATOR,13,"BROSAS, ARLENE",MKBYN,455,0.13 %
BARMM,MAGUINDANAO DEL NORTE,SULTAN KUDARAT,SENATOR,14,"CABONEGRO, ROY",DPP,660,0.18 %
BARMM,MAGUINDANAO DEL NORTE,SULTAN KUDARAT,SENATOR,15,"CAPUYAN, ALLEN",PPP,1285,0.35 %
BARMM,MAGUINDANAO DEL NORTE,SULTAN KUDARAT,SENATOR,16,"CASIÑO, TEDDY",MKBYN,513,0.14 %
BARMM,MAGUINDANAO DEL NORTE,SULTAN KUDARAT,SENATOR,17,"CASTRO, TEACHER FRANCE",MKBYN,444,0.12 %
BARMM,MAGUINDANAO DEL NORTE,SULTAN KUDARAT,SENATOR,18,"CAYETANO, PIA",NP,4174,1.15 %
BARMM,MAGUINDANAO DEL NORTE,SULTAN KUDARAT,SENATOR,19,"D'ANGELO, DAVID",BUNYOG,249,0.07 %
BARMM,MAGUINDANAO DEL NORTE,SULTAN KUDARAT,SENATOR,20,"DE ALBAN,ATTORNEY ANGELO",IND,1021,0.28 %
BARMM,MAGUINDANAO DEL NORTE,SULTAN KUDARAT,SENATOR,21,"DE GUZMAN, KA LEODY",PLM,783,0.22 %
BARMM,MAGUINDANAO DEL NORTE,SULTAN KUDARAT,SENATOR,22,"DELA ROSA, BATO",PDPLBN,36344,10.02 %
BARMM,MAGUINDANAO DEL NORTE,SULTAN KUDARAT,SENATOR,23,"DORINGO, NANAY MIMI",MKBYN,418,0.12 %
BARMM,MAGUINDANAO DEL NORTE,SULTAN KUDARAT,SENATOR,24,"ESCOBAL, ARNEL",PM,543,0.15 %
BARMM,MAGUINDANAO DEL NORTE,SULTAN KUDARAT,SENATOR,25,"ESPIRITU, LUKE",PLM,763,0.21 %
BARMM,MAGUINDANAO DEL NORTE,SULTAN KUDARAT,SENATOR,26,"FLORANDA, MODY PISTON",MKBYN,319,0.09 %
BARMM,MAGUINDANAO DEL NORTE,SULTAN KUDARAT,SENATOR,27,"GAMBOA, MARC LOUIE",IND,350,0.1 %
BARMM,MAGUINDANAO DEL NORTE,SULTAN KUDARAT,SENATOR,28,"GO, BONG GO",PDPLBN,46786,12.9 %
BARMM,MAGUINDANAO DEL NORTE,SULTAN KUDARAT,SENATOR,29,"GONZALES, NORBERTO",PDSP,612,0.17 %
BARMM,MAGUINDANAO DEL NORTE,SULTAN KUDARAT,SENATOR,30,"HINLO, JAYVEE",PDPLBN,13000,3.58 %
BARMM,MAGUINDANAO DEL NORTE,SULTAN KUDARAT,SENATOR,31,"HONASAN, GRINGO",RP,2797,0.77 %
BARMM,MAGUINDANAO DEL NORTE,SULTAN KUDARAT,SENATOR,32,"JOSE, RELLY JR.",KBL,518,0.14 %
BARMM,MAGUINDANAO DEL NORTE,SULTAN KUDARAT,SENATOR,33,"LACSON, PING",IND,2865,0.79 %
