region,province,city,position,rank,candidate_name,party,votes,percentage
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,1,"ABALOS, BENHUR",PFP,3885,7.92 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,2,"ADONIS, JEROME",MKBYN,90,0.18 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,3,"AMAD, WILSON",IND,123,0.25 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,4,"ANDAMO, NARS ALYN",MKBYN,78,0.16 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,5,"AQUINO, BAM",KNP,1740,3.55 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,6,"ARAMBULO, RONNEL",MKBYN,115,0.23 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,7,"ARELLANO, ERNESTO",KTPNAN,115,0.23 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,8,"BALLON, ROBERTO",IND,108,0.22 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,9,"BINAY, ABBY",NPC,2040,4.16 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,10,"BONDOC, JIMMY",PDPLBN,161,0.33 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,11,"BONG REVILLA,RAMON, JR.",LAKAS,2044,4.17 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,12,"BOSITA, COLONEL",IND,562,1.15 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,13,"BROSAS, ARLENE",MKBYN,134,0.27 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,14,"CABONEGRO, ROY",DPP,45,0.09 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,15,"CAPUYAN, ALLEN",PPP,65,0.13 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,16,"CASIÑO, TEDDY",MKBYN,126,0.26 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,17,"CASTRO, TEACHER FRANCE",MKBYN,177,0.36 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,18,"CAYETANO, PIA",NP,1941,3.96 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,19,"D'ANGELO, DAVID",BUNYOG,39,0.08 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,20,"DE ALBAN,ATTORNEY ANGELO",IND,99,0.2 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,21,"DE GUZMAN, KA LEODY",PLM,143,0.29 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,22,"DELA ROSA, BATO",PDPLBN,732,1.49 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,23,"DORINGO, NANAY MIMI",MKBYN,84,0.17 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,24,"ESCOBAL, ARNEL",PM,68,0.14 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,25,"ESPIRITU, LUKE",PLM,270,0.55 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,26,"FLORANDA, MODY PISTON",MKBYN,70,0.14 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,27,"GAMBOA, MARC LOUIE",IND,56,0.11 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,28,"GO, BONG GO",PDPLBN,2420,4.93 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,29,"GONZALES, NORBERTO",PDSP,64,0.13 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,30,"HINLO, JAYVEE",PDPLBN,100,0.2 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,31,"HONASAN, GRINGO",RP,497,1.01 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,32,"JOSE, RELLY JR.",KBL,56,0.11 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,33,"LACSON, PING",IND,2024,4.12 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,34,"LAMBINO, RAUL",PDPLBN,96,0.2 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,35,"LAPID, LITO",NPC,2073,4.22 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,36,"LEE, MANOY WILBERT",AKSYON,67,0.14 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,37,"LIDASAN, AMIRAH",MKBYN,27,0.06 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,38,"MARCOLETA, RODANTE",IND,448,0.91 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,39,"MARCOS, IMEE R.",NP,5409,11.02 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,40,"MARQUEZ, NORMAN",IND,91,0.19 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,41,"MARTINEZ, ERIC",IND,59,0.12 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,42,"MATA, DOC MARITES",IND,120,0.24 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,43,"MATULA, ATTY. SONNY",WPP,127,0.26 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,44,"MAZA, LIZA",MKBYN,138,0.28 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,45,"MENDOZA, HEIDI",IND,446,0.91 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,46,"MONTEMAYOR, JOEY",IND,115,0.23 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,47,"MUSTAPHA, SUBAIR",WPP,34,0.07 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,48,"OLIVAR, JOSE JESSIE",IND,43,0.09 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,49,"ONG, DOC WILLIE",AKSYON,358,0.73 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,50,"PACQUIAO, MANNY PACMAN",PFP,3483,7.1 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,51,"PANGILINAN, KIKO",LP,1360,2.77 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,52,"QUERUBIN, ARIEL PORFIRIO",NP,180,0.37 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,53,"QUIBOLOY, APOLLO",IND,100,0.2 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,54,"RAMOS, DANILO",MKBYN,143,0.29 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,55,"REVILLAME, WILLIE WIL",IND,1218,2.48 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,56,"RODRIGUEZ, ATTY. VIC",IND,163,0.33 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,57,"SAHIDULLA, NUR-ANA",IND,27,0.06 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,58,"SALVADOR, PHILLIP IPE",PDPLBN,543,1.11 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,59,"SOTTO, TITO",NPC,1874,3.82 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,60,"TAPADO, MICHAEL BONGBONG",PM,128,0.26 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,61,"TOLENTINO, FRANCIS TOL",PFP,2539,5.17 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,62,"TULFO, BEN BITAG",IND,1809,3.69 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,63,"TULFO, ERWIN",LAKAS,2785,5.68 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,64,"VALBUENA, MAR MANIBELA",IND,88,0.18 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,65,"VERCELES, LEANDRO",IND,38,0.08 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,SENATOR,66,"VILLAR, CAMILLE",NP,2673,5.45 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,PARTY LIST,,1 4PS,,137,2.16 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,PARTY LIST,,2 PPP,,1,0.02 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,PARTY LIST,,3 FPJ PANDAY BAYANIHAN,,9,0.14 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,PARTY LIST,,4 KABATAAN,,20,0.32 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,PARTY LIST,,5 DUTERTE YOUTH,,34,0.54 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,PARTY LIST,,6 ML,,4,0.06 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,PARTY LIST,,7 PBBM,,35,0.55 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,PARTY LIST,,8 P3PWD,,5,0.08 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,PARTY LIST,,9 MURANG KURYENTE,,1,0.02 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,PARTY LIST,,10 BICOL SARO,,2,0.03 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,PARTY LIST,,11 IPATUPAD,,12,0.19 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,PARTY LIST,,12 PATROL,,1,0.02 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,PARTY LIST,,13 JUAN PINOY,,1,0.02 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,PARTY LIST,,14 ARTE,,0,0 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,PARTY LIST,,15 WIFI,,5,0.08 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,PARTY LIST,,16 MAAGAP,,1,0.02 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,PARTY LIST,,17 UNITED SENIOR CITIZENS,,23,0.36 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,PARTY LIST,,18 EPANAW SAMBAYANAN,,9,0.14 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,PARTY LIST,,19 AKO PADAYON,,1,0.02 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,PARTY LIST,,20 TUCP,,1,0.02 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,PARTY LIST,,21 ACT TEACHERS,,22,0.35 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,PARTY LIST,,22 1PACMAN,,6,0.09 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,PARTY LIST,,23 TGP,,3,0.05 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,PARTY LIST,,24 DUMPER PTDA,,1,0.02 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,PARTY LIST,,25 ANAKALUSUGAN,,0,0 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,PARTY LIST,,26 AKSYON DAPAT,,0,0 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,PARTY LIST,,27 BHW,,36,0.57 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,PARTY LIST,,28 SULONG DIGNIDAD,,0,0 %
CORDILLERA ADMINISTRATIVE REGION,APAYAO,CALANASAN,PARTY LIST,,29 BATANG QUIAPO,,2,0.03 %
