region,province,city,position,rank,candidate_name,party,votes,percentage
REGION I,PANGASINAN,SAN NICOLAS,SENATOR,1,"ABALOS, BENHUR",PFP,6390,4.02 %
REGION I,PANGASINAN,SAN NICOLAS,SENATOR,2,"ADONIS, JEROME",MKBYN,260,0.16 %
REGION I,PANGASINAN,SAN NICOLAS,SENATOR,3,"AMAD, WILSON",IND,219,0.14 %
REGION I,PANGASINAN,SAN NICOLAS,SENATOR,4,"ANDAMO, NARS ALYN",MKBYN,282,0.18 %
REGION I,PANGASINAN,SAN NICOLAS,SENATOR,5,"AQUINO, BAM",KNP,8108,5.1 %
REGION I,PANGASINAN,SAN NICOLAS,SENATOR,6,"ARAMBULO, RONNEL",MKBYN,1450,0.91 %
REGION I,PANGASINAN,SAN NICOLAS,SENATOR,7,"ARELLANO, ERNESTO",KTPNAN,392,0.25 %
REGION I,PANGASINAN,SAN NICOLAS,SENATOR,8,"BALLON, ROBERTO",IND,870,0.55 %
REGION I,PANGASINAN,SAN NICOLAS,SENATOR,9,"BINAY, ABBY",NPC,5498,3.46 %
REGION I,PANGASINAN,SAN NICOLAS,SENATOR,10,"BONDOC, JIMMY",PDPLBN,1262,0.79 %
REGION I,PANGASINAN,SAN NICOLAS,SENATOR,11,"BONG REVILLA,RAMON, JR.",LAKAS,6080,3.83 %
REGION I,PANGASINAN,SAN NICOLAS,SENATOR,12,"BOSITA, COLONEL",IND,4640,2.92 %
REGION I,PANGASINAN,SAN NICOLAS,SENATOR,13,"BROSAS, ARLENE",MKBYN,1495,0.94 %
REGION I,PANGASINAN,SAN NICOLAS,SENATOR,14,"CABONEGRO, ROY",DPP,107,0.07 %
REGION I,PANGASINAN,SAN NICOLAS,SENATOR,15,"CAPUYAN, ALLEN",PPP,271,0.17 %
REGION I,PANGASINAN,SAN NICOLAS,SENATOR,16,"CASIÑO, TEDDY",MKBYN,1501,0.95 %
REGION I,PANGASINAN,SAN NICOLAS,SENATOR,17,"CASTRO, TEACHER FRANCE",MKBYN,1148,0.72 %
REGION I,PANGASINAN,SAN NICOLAS,SENATOR,18,"CAYETANO, PIA",NP,7016,4.42 %
REGION I,PANGASINAN,SAN NICOLAS,SENATOR,19,"D'ANGELO, DAVID",BUNYOG,191,0.12 %
REGION I,PANGASINAN,SAN NICOLAS,SENATOR,20,"DE ALBAN,ATTORNEY ANGELO",IND,896,0.56 %
REGION I,PANGASINAN,SAN NICOLAS,SENATOR,21,"DE GUZMAN, KA LEODY",PLM,1414,0.89 %
REGION I,PANGASINAN,SAN NICOLAS,SENATOR,22,"DELA ROSA, BATO",PDPLBN,4436,2.79 %
REGION I,PANGASINAN,SAN NICOLAS,SENATOR,23,"DORINGO, NANAY MIMI",MKBYN,286,0.18 %
REGION I,PANGASINAN,SAN NICOLAS,SENATOR,24,"ESCOBAL, ARNEL",PM,283,0.18 %
REGION I,PANGASINAN,SAN NICOLAS,SENATOR,25,"ESPIRITU, LUKE",PLM,2497,1.57 %
REGION I,PANGASINAN,SAN NICOLAS,SENATOR,26,"FLORANDA, MODY PISTON",MKBYN,222,0.14 %
REGION I,PANGASINAN,SAN NICOLAS,SENATOR,27,"GAMBOA, MARC LOUIE",IND,204,0.13 %
REGION I,PANGASINAN,SAN NICOLAS,SENATOR,28,"GO, BONG GO",PDPLBN,6548,4.12 %
