region,province,city,position,rank,candidate_name,party,votes,percentage
REGION II,ISABELA,CABATUAN,SENATOR,1,"ABALOS, BENHUR",PFP,5401,3.44 %
REGION II,ISABELA,CABATUAN,SENATOR,2,"ADONIS, JEROME",MKBYN,318,0.2 %
REGION II,ISABELA,CABATUAN,SENATOR,3,"AMAD, WILSON",IND,297,0.19 %
REGION II,ISABELA,CABATUAN,SENATOR,4,"ANDAMO, NARS ALYN",MKBYN,328,0.21 %
REGION II,ISABELA,CABATUAN,SENATOR,5,"AQUINO, BAM",KNP,10154,6.47 %
REGION II,ISABELA,CABATUAN,SENATOR,6,"ARAMBULO, RONNEL",MKBYN,1318,0.84 %
REGION II,ISABELA,CABATUAN,SENATOR,7,"ARELLANO, ERNESTO",KTPNAN,412,0.26 %
REGION II,ISABELA,CABATUAN,SENATOR,8,"BALLON, ROBERTO",IND,829,0.53 %
REGION II,ISABELA,CABATUAN,SENATOR,9,"BINAY, ABBY",NPC,5394,3.44 %
REGION II,ISABELA,CABATUAN,SENATOR,10,"BONDOC, JIMMY",PDPLBN,1080,0.69 %
REGION II,ISABELA,CABATUAN,SENATOR,11,"BONG REVILLA,RAMON, JR.",LAKAS,7440,4.74 %
REGION II,ISABELA,CABATUAN,SENATOR,12,"BOSITA, COLONEL",IND,4526,2.88 %
REGION II,ISABELA,CABATUAN,SENATOR,13,"BROSAS, ARLENE",MKBYN,1462,0.93 %
REGION II,ISABELA,CABATUAN,SENATOR,14,"CABONEGRO, ROY",DPP,173,0.11 %
REGION II,ISABELA,CABATUAN,SENATOR,15,"CAPUYAN, ALLEN",PPP,277,0.18 %
REGION II,ISABELA,CABATUAN,SENATOR,16,"CASIÑO, TEDDY",MKBYN,1334,0.85 %
REGION II,ISABELA,CABATUAN,SENATOR,17,"CASTRO, TEACHER FRANCE",MKBYN,1158,0.74 %
REGION II,ISABELA,CABATUAN,SENATOR,18,"CAYETANO, PIA",NP,6579,4.19 %
REGION II,ISABELA,CABATUAN,SENATOR,19,"D'ANGELO, DAVID",BUNYOG,257,0.16 %
REGION II,ISABELA,CABATUAN,SENATOR,20,"DE ALBAN,ATTORNEY ANGELO",IND,1052,0.67 %
REGION II,ISABELA,CABATUAN,SENATOR,21,"DE GUZMAN, KA LEODY",PLM,1324,0.84 %
REGION II,ISABELA,CABATUAN,SENATOR,22,"DELA ROSA, BATO",PDPLBN,4282,2.73 %
REGION II,ISABELA,CABATUAN,SENATOR,23,"DORINGO, NANAY MIMI",MKBYN,254,0.16 %
REGION II,ISABELA,CABATUAN,SENATOR,24,"ESCOBAL, ARNEL",PM,337,0.21 %
REGION II,ISABELA,CABATUAN,SENATOR,25,"ESPIRITU, LUKE",PLM,2267,1.44 %
REGION II,ISABELA,CABATUAN,SENATOR,26,"FLORANDA, MODY PISTON",MKBYN,266,0.17 %
REGION II,ISABELA,CABATUAN,SENATOR,27,"GAMBOA, MARC LOUIE",IND,270,0.17 %
REGION II,ISABELA,CABATUAN,SENATOR,28,"GO, BONG GO",PDPLBN,6406,4.08 %
REGION II,ISABELA,CABATUAN,SENATOR,29,"GONZALES, NORBERTO",PDSP,440,0.28 %
REGION II,ISABELA,CABATUAN,SENATOR,30,"HINLO, JAYVEE",PDPLBN,553,0.35 %
