region,province,city,position,rank,candidate_name,party,votes,percentage
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR,1,"ABALOS, BENHUR",PFP,3316,4.12 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR,2,"ADONIS, JEROME",MKBYN,100,0.12 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR,3,"AMAD, WILSON",IND,111,0.14 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR,4,"ANDAMO, NARS ALYN",MKBYN,119,0.15 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR,5,"AQUINO, BAM",KNP,4260,5.29 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR,6,"ARAMBULO, RONNEL",MKBYN,554,0.69 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR,7,"ARELLANO, ERNESTO",KTPNAN,174,0.22 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR,8,"BALLON, ROBERTO",IND,365,0.45 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR,9,"BINAY, ABBY",NPC,3126,3.89 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR,10,"BONDOC, JIMMY",PDPLBN,551,0.68 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR,11,"BONG REVILLA,RAMON, JR.",LAKAS,3099,3.85 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR,12,"BOSITA, COLONEL",IND,2241,2.79 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR,13,"BROSAS, ARLENE",MKBYN,622,0.77 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR,14,"CABONEGRO, ROY",DPP,71,0.09 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR,15,"CAPUYAN, ALLEN",PPP,135,0.17 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR,16,"CASIÑO, TEDDY",MKBYN,683,0.85 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR,17,"CASTRO, TEACHER FRANCE",MKBYN,530,0.66 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR,18,"CAYETANO, PIA",NP,3994,4.96 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR,19,"D'ANGELO, DAVID",BUNYOG,84,0.1 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR,20,"DE ALBAN,ATTORNEY ANGELO",IND,349,0.43 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR,21,"DE GUZMAN, KA LEODY",PLM,644,0.8 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR,22,"DELA ROSA, BATO",PDPLBN,2429,3.02 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR,23,"DORINGO, NANAY MIMI",MKBYN,118,0.15 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR,24,"ESCOBAL, ARNEL",PM,126,0.16 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR,25,"ESPIRITU, LUKE",PLM,1023,1.27 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR,26,"FLORANDA, MODY PISTON",MKBYN,84,0.1 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR,27,"GAMBOA, MARC LOUIE",IND,161,0.2 %
REGION II,NUEVA VIZCAYA,VILLAVERDE,SENATOR,28,"GO, BONG GO",PDPLBN,5542,6.89 %
