region,province,city,position,rank,candidate_name,party,votes,percentage
REGION III,BULACAN,CITY OF BALIWAG,SENATOR,1,"ABALOS, BENHUR",PFP,24797,3.18 %
REGION III,BULACAN,CITY OF BALIWAG,SENATOR,2,"ADONIS, JEROME",MKBYN,1085,0.14 %
REGION III,BULACAN,CITY OF BALIWAG,SENATOR,3,"AMAD, WILSON",IND,792,0.1 %
REGION III,BULACAN,CITY OF BALIWAG,SENATOR,4,"ANDAMO, NARS ALYN",MKBYN,1933,0.25 %
REGION III,BULACAN,CITY OF BALIWAG,SENATOR,5,"AQUINO, BAM",KNP,47950,6.15 %
REGION III,BULACAN,CITY OF BALIWAG,SENATOR,6,"ARAMBULO, RONNEL",MKBYN,11742,1.51 %
REGION III,BULACAN,CITY OF BALIWAG,SENATOR,7,"ARELLANO, ERNESTO",KTPNAN,1310,0.17 %
REGION III,BULACAN,CITY OF BALIWAG,SENATOR,8,"BALLON, ROBERTO",IND,6966,0.89 %
REGION III,BULACAN,CITY OF BALIWAG,SENATOR,9,"BINAY, ABBY",NPC,18914,2.43 %
REGION III,BULACAN,CITY OF BALIWAG,SENATOR,10,"BONDOC, JIMMY",PDPLBN,9790,1.26 %
REGION III,BULACAN,CITY OF BALIWAG,SENATOR,11,"BONG REVILLA,RAMON, JR.",LAKAS,20609,2.64 %
REGION III,BULACAN,CITY OF BALIWAG,SENATOR,12,"BOSITA, COLONEL",IND,25658,3.29 %
REGION III,BULACAN,CITY OF BALIWAG,SENATOR,13,"BROSAS, ARLENE",MKBYN,12693,1.63 %
REGION III,BULACAN,CITY OF BALIWAG,SENATOR,14,"CABONEGRO, ROY",DPP,571,0.07 %
REGION III,BULACAN,CITY OF BALIWAG,SENATOR,15,"CAPUYAN, ALLEN",PPP,1020,0.13 %
REGION III,BULACAN,CITY OF BALIWAG,SENATOR,16,"CASIÑO, TEDDY",MKBYN,13569,1.74 %
REGION III,BULACAN,CITY OF BALIWAG,SENATOR,17,"CASTRO, TEACHER FRANCE",MKBYN,9820,1.26 %
REGION III,BULACAN,CITY OF BALIWAG,SENATOR,18,"CAYETANO, PIA",NP,27039,3.47 %
REGION III,BULACAN,CITY OF BALIWAG,SENATOR,19,"D'ANGELO, DAVID",BUNYOG,1343,0.17 %
REGION III,BULACAN,CITY OF BALIWAG,SENATOR,20,"DE ALBAN,ATTORNEY ANGELO",IND,7137,0.92 %
REGION III,BULACAN,CITY OF BALIWAG,SENATOR,21,"DE GUZMAN, KA LEODY",PLM,11874,1.52 %
REGION III,BULACAN,CITY OF BALIWAG,SENATOR,22,"DELA ROSA, BATO",PDPLBN,24517,3.14 %
REGION III,BULACAN,CITY OF BALIWAG,SENATOR,23,"DORINGO, NANAY MIMI",MKBYN,1560,0.2 %
REGION III,BULACAN,CITY OF BALIWAG,SENATOR,24,"ESCOBAL, ARNEL",PM,1386,0.18 %
REGION III,BULACAN,CITY OF BALIWAG,SENATOR,25,"ESPIRITU, LUKE",PLM,17731,2.27 %
REGION III,BULACAN,CITY OF BALIWAG,SENATOR,26,"FLORANDA, MODY PISTON",MKBYN,1064,0.14 %
REGION III,BULACAN,CITY OF BALIWAG,SENATOR,27,"GAMBOA, MARC LOUIE",IND,906,0.12 %
REGION III,BULACAN,CITY OF BALIWAG,SENATOR,28,"GO, BONG GO",PDPLBN,34744,4.46 %
REGION III,BULACAN,CITY OF BALIWAG,SENATOR,29,"GONZALES, NORBERTO",PDSP,1791,0.23 %
REGION III,BULACAN,CITY OF BALIWAG,SENATOR,30,"HINLO, JAYVEE",PDPLBN,4921,0.63 %
REGION III,BULACAN,CITY OF BALIWAG,SENATOR,31,"HONASAN, GRINGO",RP,12732,1.63 %
REGION III,BULACAN,CITY OF BALIWAG,SENATOR,32,"JOSE, RELLY JR.",KBL,758,0.1 %
REGION III,BULACAN,CITY OF BALIWAG,SENATOR,33,"LACSON, PING",IND,33594,4.31 %
REGION III,BULACAN,CITY OF BALIWAG,SENATOR,34,"LAMBINO, RAUL",PDPLBN,5778,0.74 %
REGION III,BULACAN,CITY OF BALIWAG,SENATOR,35,"LAPID, LITO",NPC,25219,3.23 %
REGION III,BULACAN,CITY OF BALIWAG,SENATOR,36,"LEE, MANOY WILBERT",AKSYON,951,0.12 %
REGION III,BULACAN,CITY OF BALIWAG,SENATOR,37,"LIDASAN, AMIRAH",MKBYN,973,0.12 %
