region,province,city,position,rank,candidate_name,party,votes,percentage
REGION III,TARLAC,MONCADA,SENATOR,1,"ABALOS, BENHUR",PFP,11355,4.13 %
REGION III,TARLAC,MONCADA,SENATOR,2,"ADONIS, JEROME",MKBYN,379,0.14 %
REGION III,TARLAC,MONCADA,SENATOR,3,"AMAD, WILSON",IND,319,0.12 %
REGION III,TARLAC,MONCADA,SENATOR,4,"ANDAMO, NARS ALYN",MKBYN,517,0.19 %
REGION III,TARLAC,MONCADA,SENATOR,5,"AQUINO, BAM",KNP,21311,7.75 %
REGION III,TARLAC,MONCADA,SENATOR,6,"ARAMBULO, RONNEL",MKBYN,2559,0.93 %
REGION III,TARLAC,MONCADA,SENATOR,7,"ARELLANO, ERNESTO",KTPNAN,559,0.2 %
REGION III,TARLAC,MONCADA,SENATOR,8,"BALLON, ROBERTO",IND,1516,0.55 %
REGION III,TARLAC,MONCADA,SENATOR,9,"BINAY, ABBY",NPC,8916,3.24 %
REGION III,TARLAC,MONCADA,SENATOR,10,"BONDOC, JIMMY",PDPLBN,1912,0.7 %
REGION III,TARLAC,MONCADA,SENATOR,11,"BONG REVILLA,RAMON, JR.",LAKAS,8611,3.13 %
REGION III,TARLAC,MONCADA,SENATOR,12,"BOSITA, COLONEL",IND,7242,2.63 %
REGION III,TARLAC,MONCADA,SENATOR,13,"BROSAS, ARLENE",MKBYN,2811,1.02 %
REGION III,TARLAC,MONCADA,SENATOR,14,"CABONEGRO, ROY",DPP,223,0.08 %
REGION III,TARLAC,MONCADA,SENATOR,15,"CAPUYAN, ALLEN",PPP,444,0.16 %
REGION III,TARLAC,MONCADA,SENATOR,16,"CASIÑO, TEDDY",MKBYN,2857,1.04 %
REGION III,TARLAC,MONCADA,SENATOR,17,"CASTRO, TEACHER FRANCE",MKBYN,2187,0.8 %
REGION III,TARLAC,MONCADA,SENATOR,18,"CAYETANO, PIA",NP,12097,4.4 %
REGION III,TARLAC,MONCADA,SENATOR,19,"D'ANGELO, DAVID",BUNYOG,427,0.16 %
REGION III,TARLAC,MONCADA,SENATOR,20,"DE ALBAN,ATTORNEY ANGELO",IND,1457,0.53 %
REGION III,TARLAC,MONCADA,SENATOR,21,"DE GUZMAN, KA LEODY",PLM,2497,0.91 %
REGION III,TARLAC,MONCADA,SENATOR,22,"DELA ROSA, BATO",PDPLBN,6260,2.28 %
REGION III,TARLAC,MONCADA,SENATOR,23,"DORINGO, NANAY MIMI",MKBYN,414,0.15 %
REGION III,TARLAC,MONCADA,SENATOR,24,"ESCOBAL, ARNEL",PM,411,0.15 %
REGION III,TARLAC,MONCADA,SENATOR,25,"ESPIRITU, LUKE",PLM,4315,1.57 %
REGION III,TARLAC,MONCADA,SENATOR,26,"FLORANDA, MODY PISTON",MKBYN,324,0.12 %
REGION III,TARLAC,MONCADA,SENATOR,27,"GAMBOA, MARC LOUIE",IND,426,0.15 %
REGION III,TARLAC,MONCADA,SENATOR,28,"GO, BONG GO",PDPLBN,12408,4.51 %
REGION III,TARLAC,MONCADA,SENATOR,29,"GONZALES, NORBERTO",PDSP,525,0.19 %
REGION III,TARLAC,MONCADA,SENATOR,30,"HINLO, JAYVEE",PDPLBN,1118,0.41 %
REGION III,TARLAC,MONCADA,SENATOR,31,"HONASAN, GRINGO",RP,4782,1.74 %
REGION III,TARLAC,MONCADA,SENATOR,32,"JOSE, RELLY JR.",KBL,327,0.12 %
REGION III,TARLAC,MONCADA,SENATOR,33,"LACSON, PING",IND,12033,4.38 %
REGION III,TARLAC,MONCADA,SENATOR,34,"LAMBINO, RAUL",PDPLBN,1464,0.53 %
REGION III,TARLAC,MONCADA,SENATOR,35,"LAPID, LITO",NPC,11102,4.04 %
REGION III,TARLAC,MONCADA,SENATOR,36,"LEE, MANOY WILBERT",AKSYON,308,0.11 %
REGION III,TARLAC,MONCADA,SENATOR,37,"LIDASAN, AMIRAH",MKBYN,201,0.07 %
REGION III,TARLAC,MONCADA,SENATOR,38,"MARCOLETA, RODANTE",IND,9418,3.43 %
REGION III,TARLAC,MONCADA,SENATOR,39,"MARCOS, IMEE R.",NP,9974,3.63 %
REGION III,TARLAC,MONCADA,SENATOR,40,"MARQUEZ, NORMAN",IND,823,0.3 %
REGION III,TARLAC,MONCADA,SENATOR,41,"MARTINEZ, ERIC",IND,460,0.17 %
REGION III,TARLAC,MONCADA,SENATOR,42,"MATA, DOC MARITES",IND,982,0.36 %
REGION III,TARLAC,MONCADA,SENATOR,43,"MATULA, ATTY. SONNY",WPP,2353,0.86 %
REGION III,TARLAC,MONCADA,SENATOR,44,"MAZA, LIZA",MKBYN,2545,0.93 %
REGION III,TARLAC,MONCADA,SENATOR,45,"MENDOZA, HEIDI",IND,7487,2.72 %
REGION III,TARLAC,MONCADA,SENATOR,46,"MONTEMAYOR, JOEY",IND,368,0.13 %
REGION III,TARLAC,MONCADA,SENATOR,47,"MUSTAPHA, SUBAIR",WPP,182,0.07 %
REGION III,TARLAC,MONCADA,SENATOR,48,"OLIVAR, JOSE JESSIE",IND,307,0.11 %
REGION III,TARLAC,MONCADA,SENATOR,49,"ONG, DOC WILLIE",AKSYON,4411,1.6 %
REGION III,TARLAC,MONCADA,SENATOR,50,"PACQUIAO, MANNY PACMAN",PFP,6267,2.28 %
REGION III,TARLAC,MONCADA,SENATOR,51,"PANGILINAN, KIKO",LP,12979,4.72 %
