region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IV-A,RIZAL,BARAS,SENATOR,1,"ABALOS, BENHUR",PFP,7674,2.76 %
REGION IV-A,RIZAL,BARAS,SENATOR,2,"ADONIS, JEROME",MKBYN,433,0.16 %
REGION IV-A,RIZAL,BARAS,SENATOR,3,"AMAD, WILSON",IND,346,0.12 %
REGION IV-A,RIZAL,BARAS,SENATOR,4,"ANDAMO, NARS ALYN",MKBYN,476,0.17 %
REGION IV-A,RIZAL,BARAS,SENATOR,5,"AQUINO, BAM",KNP,15301,5.5 %
REGION IV-A,RIZAL,BARAS,SENATOR,6,"ARAMBULO, RONNEL",MKBYN,2918,1.05 %
REGION IV-A,RIZAL,BARAS,SENATOR,7,"ARELLANO, ERNESTO",KTPNAN,511,0.18 %
REGION IV-A,RIZAL,BARAS,SENATOR,8,"BALLON, ROBERTO",IND,1610,0.58 %
REGION IV-A,RIZAL,BARAS,SENATOR,9,"BINAY, ABBY",NPC,8773,3.16 %
REGION IV-A,RIZAL,BARAS,SENATOR,10,"BONDOC, JIMMY",PDPLBN,4331,1.56 %
REGION IV-A,RIZAL,BARAS,SENATOR,11,"BONG REVILLA,RAMON, JR.",LAKAS,9650,3.47 %
REGION IV-A,RIZAL,BARAS,SENATOR,12,"BOSITA, COLONEL",IND,8554,3.08 %
REGION IV-A,RIZAL,BARAS,SENATOR,13,"BROSAS, ARLENE",MKBYN,3051,1.1 %
REGION IV-A,RIZAL,BARAS,SENATOR,14,"CABONEGRO, ROY",DPP,235,0.08 %
REGION IV-A,RIZAL,BARAS,SENATOR,15,"CAPUYAN, ALLEN",PPP,369,0.13 %
REGION IV-A,RIZAL,BARAS,SENATOR,16,"CASIÑO, TEDDY",MKBYN,3089,1.11 %
REGION IV-A,RIZAL,BARAS,SENATOR,17,"CASTRO, TEACHER FRANCE",MKBYN,2485,0.89 %
REGION IV-A,RIZAL,BARAS,SENATOR,18,"CAYETANO, PIA",NP,11296,4.06 %
REGION IV-A,RIZAL,BARAS,SENATOR,19,"D'ANGELO, DAVID",BUNYOG,439,0.16 %
REGION IV-A,RIZAL,BARAS,SENATOR,20,"DE ALBAN,ATTORNEY ANGELO",IND,1749,0.63 %
REGION IV-A,RIZAL,BARAS,SENATOR,21,"DE GUZMAN, KA LEODY",PLM,2879,1.04 %
REGION IV-A,RIZAL,BARAS,SENATOR,22,"DELA ROSA, BATO",PDPLBN,12018,4.32 %
REGION IV-A,RIZAL,BARAS,SENATOR,23,"DORINGO, NANAY MIMI",MKBYN,476,0.17 %
REGION IV-A,RIZAL,BARAS,SENATOR,24,"ESCOBAL, ARNEL",PM,511,0.18 %
REGION IV-A,RIZAL,BARAS,SENATOR,25,"ESPIRITU, LUKE",PLM,4035,1.45 %
REGION IV-A,RIZAL,BARAS,SENATOR,26,"FLORANDA, MODY PISTON",MKBYN,368,0.13 %
REGION IV-A,RIZAL,BARAS,SENATOR,27,"GAMBOA, MARC LOUIE",IND,355,0.13 %
REGION IV-A,RIZAL,BARAS,SENATOR,28,"GO, BONG GO",PDPLBN,15951,5.74 %
REGION IV-A,RIZAL,BARAS,SENATOR,29,"GONZALES, NORBERTO",PDSP,629,0.23 %
REGION IV-A,RIZAL,BARAS,SENATOR,30,"HINLO, JAYVEE",PDPLBN,2611,0.94 %
REGION IV-A,RIZAL,BARAS,SENATOR,31,"HONASAN, GRINGO",RP,4607,1.66 %
REGION IV-A,RIZAL,BARAS,SENATOR,32,"JOSE, RELLY JR.",KBL,289,0.1 %
REGION IV-A,RIZAL,BARAS,SENATOR,33,"LACSON, PING",IND,9826,3.53 %
REGION IV-A,RIZAL,BARAS,SENATOR,34,"LAMBINO, RAUL",PDPLBN,3025,1.09 %
REGION IV-A,RIZAL,BARAS,SENATOR,35,"LAPID, LITO",NPC,9084,3.27 %
REGION IV-A,RIZAL,BARAS,SENATOR,36,"LEE, MANOY WILBERT",AKSYON,449,0.16 %
REGION IV-A,RIZAL,BARAS,SENATOR,37,"LIDASAN, AMIRAH",MKBYN,266,0.1 %
REGION IV-A,RIZAL,BARAS,SENATOR,38,"MARCOLETA, RODANTE",IND,10107,3.63 %
REGION IV-A,RIZAL,BARAS,SENATOR,39,"MARCOS, IMEE R.",NP,10065,3.62 %
REGION IV-A,RIZAL,BARAS,SENATOR,40,"MARQUEZ, NORMAN",IND,698,0.25 %
REGION IV-A,RIZAL,BARAS,SENATOR,41,"MARTINEZ, ERIC",IND,622,0.22 %
REGION IV-A,RIZAL,BARAS,SENATOR,42,"MATA, DOC MARITES",IND,2373,0.85 %
REGION IV-A,RIZAL,BARAS,SENATOR,43,"MATULA, ATTY. SONNY",WPP,2494,0.9 %
REGION IV-A,RIZAL,BARAS,SENATOR,44,"MAZA, LIZA",MKBYN,2701,0.97 %
REGION IV-A,RIZAL,BARAS,SENATOR,45,"MENDOZA, HEIDI",IND,5391,1.94 %
REGION IV-A,RIZAL,BARAS,SENATOR,46,"MONTEMAYOR, JOEY",IND,462,0.17 %
REGION IV-A,RIZAL,BARAS,SENATOR,47,"MUSTAPHA, SUBAIR",WPP,175,0.06 %
REGION IV-A,RIZAL,BARAS,SENATOR,48,"OLIVAR, JOSE JESSIE",IND,230,0.08 %
REGION IV-A,RIZAL,BARAS,SENATOR,49,"ONG, DOC WILLIE",AKSYON,5972,2.15 %
REGION IV-A,RIZAL,BARAS,SENATOR,50,"PACQUIAO, MANNY PACMAN",PFP,7060,2.54 %
REGION IV-A,RIZAL,BARAS,SENATOR,51,"PANGILINAN, KIKO",LP,9244,3.32 %
REGION IV-A,RIZAL,BARAS,SENATOR,52,"QUERUBIN, ARIEL PORFIRIO",NP,3012,1.08 %
REGION IV-A,RIZAL,BARAS,SENATOR,53,"QUIBOLOY, APOLLO",IND,2000,0.72 %
REGION IV-A,RIZAL,BARAS,SENATOR,54,"RAMOS, DANILO",MKBYN,2794,1 %
REGION IV-A,RIZAL,BARAS,SENATOR,55,"REVILLAME, WILLIE WIL",IND,5739,2.06 %
REGION IV-A,RIZAL,BARAS,SENATOR,56,"RODRIGUEZ, ATTY. VIC",IND,3579,1.29 %
REGION IV-A,RIZAL,BARAS,SENATOR,57,"SAHIDULLA, NUR-ANA",IND,177,0.06 %
REGION IV-A,RIZAL,BARAS,SENATOR,58,"SALVADOR, PHILLIP IPE",PDPLBN,4747,1.71 %
REGION IV-A,RIZAL,BARAS,SENATOR,59,"SOTTO, TITO",NPC,11379,4.09 %
REGION IV-A,RIZAL,BARAS,SENATOR,60,"TAPADO, MICHAEL BONGBONG",PM,302,0.11 %
