region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IV-B,ORIENTAL MINDORO,GLORIA,SENATOR,1,"ABALOS, BENHUR",PFP,5508,2.99 %
REGION IV-B,ORIENTAL MINDORO,GLORIA,SENATOR,2,"ADONIS, JEROME",MKBYN,283,0.15 %
REGION IV-B,ORIENTAL MINDORO,GLORIA,SENATOR,3,"AMAD, WILSON",IND,262,0.14 %
REGION IV-B,ORIENTAL MINDORO,GLORIA,SENATOR,4,"ANDAMO, NARS ALYN",MKBYN,271,0.15 %
REGION IV-B,ORIENTAL MINDORO,GLORIA,SENATOR,5,"AQUINO, BAM",KNP,9864,5.36 %
REGION IV-B,ORIENTAL MINDORO,GLORIA,SENATOR,6,"ARAMBULO, RONNEL",MKBYN,1151,0.63 %
REGION IV-B,ORIENTAL MINDORO,GLORIA,SENATOR,7,"ARELLANO, ERNESTO",KTPNAN,383,0.21 %
REGION IV-B,ORIENTAL MINDORO,GLORIA,SENATOR,8,"BALLON, ROBERTO",IND,715,0.39 %
REGION IV-B,ORIENTAL MINDORO,GLORIA,SENATOR,9,"BINAY, ABBY",NPC,5898,3.21 %
REGION IV-B,ORIENTAL MINDORO,GLORIA,SENATOR,10,"BONDOC, JIMMY",PDPLBN,1872,1.02 %
REGION IV-B,ORIENTAL MINDORO,GLORIA,SENATOR,11,"BONG REVILLA,RAMON, JR.",LAKAS,7963,4.33 %
REGION IV-B,ORIENTAL MINDORO,GLORIA,SENATOR,12,"BOSITA, COLONEL",IND,5992,3.26 %
REGION IV-B,ORIENTAL MINDORO,GLORIA,SENATOR,13,"BROSAS, ARLENE",MKBYN,1384,0.75 %
REGION IV-B,ORIENTAL MINDORO,GLORIA,SENATOR,14,"CABONEGRO, ROY",DPP,134,0.07 %
REGION IV-B,ORIENTAL MINDORO,GLORIA,SENATOR,15,"CAPUYAN, ALLEN",PPP,230,0.12 %
REGION IV-B,ORIENTAL MINDORO,GLORIA,SENATOR,16,"CASIÑO, TEDDY",MKBYN,1483,0.81 %
REGION IV-B,ORIENTAL MINDORO,GLORIA,SENATOR,17,"CASTRO, TEACHER FRANCE",MKBYN,1350,0.73 %
REGION IV-B,ORIENTAL MINDORO,GLORIA,SENATOR,18,"CAYETANO, PIA",NP,6979,3.79 %
REGION IV-B,ORIENTAL MINDORO,GLORIA,SENATOR,19,"D'ANGELO, DAVID",BUNYOG,212,0.12 %
REGION IV-B,ORIENTAL MINDORO,GLORIA,SENATOR,20,"DE ALBAN,ATTORNEY ANGELO",IND,683,0.37 %
REGION IV-B,ORIENTAL MINDORO,GLORIA,SENATOR,21,"DE GUZMAN, KA LEODY",PLM,1551,0.84 %
REGION IV-B,ORIENTAL MINDORO,GLORIA,SENATOR,22,"DELA ROSA, BATO",PDPLBN,7248,3.94 %
REGION IV-B,ORIENTAL MINDORO,GLORIA,SENATOR,23,"DORINGO, NANAY MIMI",MKBYN,249,0.14 %
REGION IV-B,ORIENTAL MINDORO,GLORIA,SENATOR,24,"ESCOBAL, ARNEL",PM,319,0.17 %
REGION IV-B,ORIENTAL MINDORO,GLORIA,SENATOR,25,"ESPIRITU, LUKE",PLM,2350,1.28 %
