region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IV-B,PALAWAN,CUYO,SENATOR,1,"ABALOS, BENHUR",PFP,2265,2.6 %
REGION IV-B,PALAWAN,CUYO,SENATOR,2,"ADONIS, JEROME",MKBYN,166,0.19 %
REGION IV-B,PALAWAN,CUYO,SENATOR,3,"AMAD, WILSON",IND,151,0.17 %
REGION IV-B,PALAWAN,CUYO,SENATOR,4,"ANDAMO, NARS ALYN",MKBYN,91,0.1 %
REGION IV-B,PALAWAN,CUYO,SENATOR,5,"AQUINO, BAM",KNP,4243,4.87 %
REGION IV-B,PALAWAN,CUYO,SENATOR,6,"ARAMBULO, RONNEL",MKBYN,412,0.47 %
REGION IV-B,PALAWAN,CUYO,SENATOR,7,"ARELLANO, ERNESTO",KTPNAN,197,0.23 %
REGION IV-B,PALAWAN,CUYO,SENATOR,8,"BALLON, ROBERTO",IND,240,0.28 %
REGION IV-B,PALAWAN,CUYO,SENATOR,9,"BINAY, ABBY",NPC,3563,4.09 %
REGION IV-B,PALAWAN,CUYO,SENATOR,10,"BONDOC, JIMMY",PDPLBN,821,0.94 %
REGION IV-B,PALAWAN,CUYO,SENATOR,11,"BONG REVILLA,RAMON, JR.",LAKAS,3182,3.65 %
REGION IV-B,PALAWAN,CUYO,SENATOR,12,"BOSITA, COLONEL",IND,685,0.79 %
REGION IV-B,PALAWAN,CUYO,SENATOR,13,"BROSAS, ARLENE",MKBYN,492,0.56 %
REGION IV-B,PALAWAN,CUYO,SENATOR,14,"CABONEGRO, ROY",DPP,78,0.09 %
REGION IV-B,PALAWAN,CUYO,SENATOR,15,"CAPUYAN, ALLEN",PPP,166,0.19 %
REGION IV-B,PALAWAN,CUYO,SENATOR,16,"CASIÑO, TEDDY",MKBYN,498,0.57 %
REGION IV-B,PALAWAN,CUYO,SENATOR,17,"CASTRO, TEACHER FRANCE",MKBYN,669,0.77 %
REGION IV-B,PALAWAN,CUYO,SENATOR,18,"CAYETANO, PIA",NP,3825,4.39 %
REGION IV-B,PALAWAN,CUYO,SENATOR,19,"D'ANGELO, DAVID",BUNYOG,88,0.1 %
REGION IV-B,PALAWAN,CUYO,SENATOR,20,"DE ALBAN,ATTORNEY ANGELO",IND,238,0.27 %
REGION IV-B,PALAWAN,CUYO,SENATOR,21,"DE GUZMAN, KA LEODY",PLM,551,0.63 %
REGION IV-B,PALAWAN,CUYO,SENATOR,22,"DELA ROSA, BATO",PDPLBN,2796,3.21 %
REGION IV-B,PALAWAN,CUYO,SENATOR,23,"DORINGO, NANAY MIMI",MKBYN,122,0.14 %
REGION IV-B,PALAWAN,CUYO,SENATOR,24,"ESCOBAL, ARNEL",PM,139,0.16 %
REGION IV-B,PALAWAN,CUYO,SENATOR,25,"ESPIRITU, LUKE",PLM,1062,1.22 %
REGION IV-B,PALAWAN,CUYO,SENATOR,26,"FLORANDA, MODY PISTON",MKBYN,103,0.12 %
REGION IV-B,PALAWAN,CUYO,SENATOR,27,"GAMBOA, MARC LOUIE",IND,98,0.11 %
REGION IV-B,PALAWAN,CUYO,SENATOR,28,"GO, BONG GO",PDPLBN,4944,5.68 %
REGION IV-B,PALAWAN,CUYO,SENATOR,29,"GONZALES, NORBERTO",PDSP,173,0.2 %
REGION IV-B,PALAWAN,CUYO,SENATOR,30,"HINLO, JAYVEE",PDPLBN,456,0.52 %
REGION IV-B,PALAWAN,CUYO,SENATOR,31,"HONASAN, GRINGO",RP,1156,1.33 %
REGION IV-B,PALAWAN,CUYO,SENATOR,32,"JOSE, RELLY JR.",KBL,147,0.17 %
REGION IV-B,PALAWAN,CUYO,SENATOR,33,"LACSON, PING",IND,4325,4.96 %
REGION IV-B,PALAWAN,CUYO,SENATOR,34,"LAMBINO, RAUL",PDPLBN,557,0.64 %
REGION IV-B,PALAWAN,CUYO,SENATOR,35,"LAPID, LITO",NPC,4669,5.36 %
REGION IV-B,PALAWAN,CUYO,SENATOR,36,"LEE, MANOY WILBERT",AKSYON,101,0.12 %
REGION IV-B,PALAWAN,CUYO,SENATOR,37,"LIDASAN, AMIRAH",MKBYN,70,0.08 %
REGION IV-B,PALAWAN,CUYO,SENATOR,38,"MARCOLETA, RODANTE",IND,1195,1.37 %
REGION IV-B,PALAWAN,CUYO,SENATOR,39,"MARCOS, IMEE R.",NP,1967,2.26 %
REGION IV-B,PALAWAN,CUYO,SENATOR,40,"MARQUEZ, NORMAN",IND,142,0.16 %
REGION IV-B,PALAWAN,CUYO,SENATOR,41,"MARTINEZ, ERIC",IND,300,0.34 %
REGION IV-B,PALAWAN,CUYO,SENATOR,42,"MATA, DOC MARITES",IND,430,0.49 %
REGION IV-B,PALAWAN,CUYO,SENATOR,43,"MATULA, ATTY. SONNY",WPP,450,0.52 %
REGION IV-B,PALAWAN,CUYO,SENATOR,44,"MAZA, LIZA",MKBYN,453,0.52 %
REGION IV-B,PALAWAN,CUYO,SENATOR,45,"MENDOZA, HEIDI",IND,1030,1.18 %
REGION IV-B,PALAWAN,CUYO,SENATOR,46,"MONTEMAYOR, JOEY",IND,154,0.18 %
REGION IV-B,PALAWAN,CUYO,SENATOR,47,"MUSTAPHA, SUBAIR",WPP,44,0.05 %
REGION IV-B,PALAWAN,CUYO,SENATOR,48,"OLIVAR, JOSE JESSIE",IND,96,0.11 %
REGION IV-B,PALAWAN,CUYO,SENATOR,49,"ONG, DOC WILLIE",AKSYON,1953,2.24 %
REGION IV-B,PALAWAN,CUYO,SENATOR,50,"PACQUIAO, MANNY PACMAN",PFP,3528,4.05 %
REGION IV-B,PALAWAN,CUYO,SENATOR,51,"PANGILINAN, KIKO",LP,3583,4.11 %
REGION IV-B,PALAWAN,CUYO,SENATOR,52,"QUERUBIN, ARIEL PORFIRIO",NP,642,0.74 %
REGION IV-B,PALAWAN,CUYO,SENATOR,53,"QUIBOLOY, APOLLO",IND,345,0.4 %
REGION IV-B,PALAWAN,CUYO,SENATOR,54,"RAMOS, DANILO",MKBYN,462,0.53 %
REGION IV-B,PALAWAN,CUYO,SENATOR,55,"REVILLAME, WILLIE WIL",IND,3587,4.12 %
REGION IV-B,PALAWAN,CUYO,SENATOR,56,"RODRIGUEZ, ATTY. VIC",IND,939,1.08 %
REGION IV-B,PALAWAN,CUYO,SENATOR,57,"SAHIDULLA, NUR-ANA",IND,57,0.07 %
REGION IV-B,PALAWAN,CUYO,SENATOR,58,"SALVADOR, PHILLIP IPE",PDPLBN,1642,1.88 %
REGION IV-B,PALAWAN,CUYO,SENATOR,59,"SOTTO, TITO",NPC,4579,5.26 %
REGION IV-B,PALAWAN,CUYO,SENATOR,60,"TAPADO, MICHAEL BONGBONG",PM,99,0.11 %
REGION IV-B,PALAWAN,CUYO,SENATOR,61,"TOLENTINO, FRANCIS TOL",PFP,1697,1.95 %
REGION IV-B,PALAWAN,CUYO,SENATOR,62,"TULFO, BEN BITAG",IND,4324,4.96 %
REGION IV-B,PALAWAN,CUYO,SENATOR,63,"TULFO, ERWIN",LAKAS,6133,7.04 %
REGION IV-B,PALAWAN,CUYO,SENATOR,64,"VALBUENA, MAR MANIBELA",IND,151,0.17 %
REGION IV-B,PALAWAN,CUYO,SENATOR,65,"VERCELES, LEANDRO",IND,39,0.04 %
REGION IV-B,PALAWAN,CUYO,SENATOR,66,"VILLAR, CAMILLE",NP,3552,4.08 %
REGION IV-B,PALAWAN,CUYO,PARTY LIST,,1 4PS,,418,4.51 %
REGION IV-B,PALAWAN,CUYO,PARTY LIST,,2 PPP,,29,0.31 %
REGION IV-B,PALAWAN,CUYO,PARTY LIST,,3 FPJ PANDAY BAYANIHAN,,61,0.66 %
REGION IV-B,PALAWAN,CUYO,PARTY LIST,,4 KABATAAN,,44,0.47 %
REGION IV-B,PALAWAN,CUYO,PARTY LIST,,5 DUTERTE YOUTH,,186,2.01 %
REGION IV-B,PALAWAN,CUYO,PARTY LIST,,6 ML,,33,0.36 %
REGION IV-B,PALAWAN,CUYO,PARTY LIST,,7 PBBM,,18,0.19 %
REGION IV-B,PALAWAN,CUYO,PARTY LIST,,8 P3PWD,,13,0.14 %
REGION IV-B,PALAWAN,CUYO,PARTY LIST,,9 MURANG KURYENTE,,14,0.15 %
REGION IV-B,PALAWAN,CUYO,PARTY LIST,,10 BICOL SARO,,8,0.09 %
REGION IV-B,PALAWAN,CUYO,PARTY LIST,,11 IPATUPAD,,8,0.09 %
REGION IV-B,PALAWAN,CUYO,PARTY LIST,,12 PATROL,,1,0.01 %
REGION IV-B,PALAWAN,CUYO,PARTY LIST,,13 JUAN PINOY,,6,0.06 %
REGION IV-B,PALAWAN,CUYO,PARTY LIST,,14 ARTE,,1,0.01 %
REGION IV-B,PALAWAN,CUYO,PARTY LIST,,15 WIFI,,14,0.15 %
REGION IV-B,PALAWAN,CUYO,PARTY LIST,,16 MAAGAP,,1,0.01 %
REGION IV-B,PALAWAN,CUYO,PARTY LIST,,17 UNITED SENIOR CITIZENS,,165,1.78 %
REGION IV-B,PALAWAN,CUYO,PARTY LIST,,18 EPANAW SAMBAYANAN,,16,0.17 %
REGION IV-B,PALAWAN,CUYO,PARTY LIST,,19 AKO PADAYON,,4,0.04 %
REGION IV-B,PALAWAN,CUYO,PARTY LIST,,20 TUCP,,2,0.02 %
REGION IV-B,PALAWAN,CUYO,PARTY LIST,,21 ACT TEACHERS,,179,1.93 %
REGION IV-B,PALAWAN,CUYO,PARTY LIST,,22 1PACMAN,,30,0.32 %
REGION IV-B,PALAWAN,CUYO,PARTY LIST,,23 TGP,,18,0.19 %
REGION IV-B,PALAWAN,CUYO,PARTY LIST,,24 DUMPER PTDA,,1,0.01 %
REGION IV-B,PALAWAN,CUYO,PARTY LIST,,25 ANAKALUSUGAN,,1,0.01 %
REGION IV-B,PALAWAN,CUYO,PARTY LIST,,26 AKSYON DAPAT,,7,0.08 %
REGION IV-B,PALAWAN,CUYO,PARTY LIST,,27 BHW,,184,1.98 %
REGION IV-B,PALAWAN,CUYO,PARTY LIST,,28 SULONG DIGNIDAD,,1,0.01 %
REGION IV-B,PALAWAN,CUYO,PARTY LIST,,29 BATANG QUIAPO,,32,0.35 %
REGION IV-B,PALAWAN,CUYO,PARTY LIST,,30 PBA,,2,0.02 %
REGION IV-B,PALAWAN,CUYO,PARTY LIST,,31 GILAS,,2,0.02 %
REGION IV-B,PALAWAN,CUYO,PARTY LIST,,32 AKO ILOCANO AKO,,5,0.05 %
REGION IV-B,PALAWAN,CUYO,PARTY LIST,,33 PAMILYANG MAGSASAKA,,18,0.19 %
REGION IV-B,PALAWAN,CUYO,PARTY LIST,,34 CLICK PARTY,,2,0.02 %
REGION IV-B,PALAWAN,CUYO,PARTY LIST,,35 ABANTE BISDAK,,0,0 %
REGION IV-B,PALAWAN,CUYO,PARTY LIST,,36 MANILA TEACHERS,,268,2.89 %
REGION IV-B,PALAWAN,CUYO,PARTY LIST,,37 PAMANA,,2,0.02 %
REGION IV-B,PALAWAN,CUYO,PARTY LIST,,38 NANAY,,8,0.09 %
REGION IV-B,PALAWAN,CUYO,PARTY LIST,,39 KM NGAYON NA,,1,0.01 %
REGION IV-B,PALAWAN,CUYO,PARTY LIST,,40 BABAE AKO,,43,0.46 %
REGION IV-B,PALAWAN,CUYO,PARTY LIST,,41 ARISE,,5,0.05 %
REGION IV-B,PALAWAN,CUYO,PARTY LIST,,42 MAGDALO,,37,0.4 %
REGION IV-B,PALAWAN,CUYO,PARTY LIST,,43 APEC,,51,0.55 %
REGION IV-B,PALAWAN,CUYO,PARTY LIST,,44 MAGBUBUKID,,5,0.05 %
REGION IV-B,PALAWAN,CUYO,PARTY LIST,,45 SSS-GSIS PENSYONADO,,39,0.42 %
