region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IX,SULU,MAIMBUNG,SENATOR,1,"ABALOS, BENHUR",PFP,19345,7.33 %
REGION IX,SULU,MAIMBUNG,SENATOR,2,"ADONIS, JEROME",MKBYN,85,0.03 %
REGION IX,SULU,MAIMBUNG,SENATOR,3,"AMAD, WILSON",IND,71,0.03 %
REGION IX,SULU,MAIMBUNG,SENATOR,4,"ANDAMO, NARS ALYN",MKBYN,53,0.02 %
REGION IX,SULU,MAIMBUNG,SENATOR,5,"AQUINO, BAM",KNP,1284,0.49 %
REGION IX,SULU,MAIMBUNG,SENATOR,6,"ARAMBULO, RONNEL",MKBYN,36,0.01 %
REGION IX,SULU,MAIMBUNG,SENATOR,7,"ARELLANO, ERNESTO",KTPNAN,52,0.02 %
REGION IX,SULU,MAIMBUNG,SENATOR,8,"BALLON, ROBERTO",IND,78,0.03 %
REGION IX,SULU,MAIMBUNG,SENATOR,9,"BINAY, ABBY",NPC,1144,0.43 %
REGION IX,SULU,MAIMBUNG,SENATOR,10,"BONDOC, JIMMY",PDPLBN,4393,1.67 %
REGION IX,SULU,MAIMBUNG,SENATOR,11,"BONG REVILLA,RAMON, JR.",LAKAS,24948,9.46 %
REGION IX,SULU,MAIMBUNG,SENATOR,12,"BOSITA, COLONEL",IND,383,0.15 %
REGION IX,SULU,MAIMBUNG,SENATOR,13,"BROSAS, ARLENE",MKBYN,144,0.05 %
REGION IX,SULU,MAIMBUNG,SENATOR,14,"CABONEGRO, ROY",DPP,49,0.02 %
REGION IX,SULU,MAIMBUNG,SENATOR,15,"CAPUYAN, ALLEN",PPP,83,0.03 %
REGION IX,SULU,MAIMBUNG,SENATOR,16,"CASIÑO, TEDDY",MKBYN,110,0.04 %
REGION IX,SULU,MAIMBUNG,SENATOR,17,"CASTRO, TEACHER FRANCE",MKBYN,103,0.04 %
REGION IX,SULU,MAIMBUNG,SENATOR,18,"CAYETANO, PIA",NP,18850,7.15 %
