region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IX,SULU,SIASI,SENATOR,1,"ABALOS, BENHUR",PFP,17692,6.1 %
REGION IX,SULU,SIASI,SENATOR,2,"ADONIS, JEROME",MKBYN,30,0.01 %
REGION IX,SULU,SIASI,SENATOR,3,"AMAD, WILSON",IND,71,0.02 %
REGION IX,SULU,SIASI,SENATOR,4,"ANDAMO, NARS ALYN",MKBYN,47,0.02 %
REGION IX,SULU,SIASI,SENATOR,5,"AQUINO, BAM",KNP,2314,0.8 %
REGION IX,SULU,SIASI,SENATOR,6,"ARAMBULO, RONNEL",MKBYN,47,0.02 %
REGION IX,SULU,SIASI,SENATOR,7,"ARELLANO, ERNESTO",KTPNAN,45,0.02 %
REGION IX,SULU,SIASI,SENATOR,8,"BALLON, ROBERTO",IND,65,0.02 %
REGION IX,SULU,SIASI,SENATOR,9,"BINAY, ABBY",NPC,798,0.28 %
REGION IX,SULU,SIASI,SENATOR,10,"BONDOC, JIMMY",PDPLBN,14355,4.95 %
REGION IX,SULU,SIASI,SENATOR,11,"BONG REVILLA,RAMON, JR.",LAKAS,7524,2.6 %
REGION IX,SULU,SIASI,SENATOR,12,"BOSITA, COLONEL",IND,204,0.07 %
REGION IX,SULU,SIASI,SENATOR,13,"BROSAS, ARLENE",MKBYN,36,0.01 %
REGION IX,SULU,SIASI,SENATOR,14,"CABONEGRO, ROY",DPP,74,0.03 %
REGION IX,SULU,SIASI,SENATOR,15,"CAPUYAN, ALLEN",PPP,36,0.01 %
REGION IX,SULU,SIASI,SENATOR,16,"CASIÑO, TEDDY",MKBYN,46,0.02 %
REGION IX,SULU,SIASI,SENATOR,17,"CASTRO, TEACHER FRANCE",MKBYN,47,0.02 %
REGION IX,SULU,SIASI,SENATOR,18,"CAYETANO, PIA",NP,10526,3.63 %
REGION IX,SULU,SIASI,SENATOR,19,"D'ANGELO, DAVID",BUNYOG,23,0.01 %
REGION IX,SULU,SIASI,SENATOR,20,"DE ALBAN,ATTORNEY ANGELO",IND,71,0.02 %
REGION IX,SULU,SIASI,SENATOR,21,"DE GUZMAN, KA LEODY",PLM,353,0.12 %
REGION IX,SULU,SIASI,SENATOR,22,"DELA ROSA, BATO",PDPLBN,19888,6.86 %
REGION IX,SULU,SIASI,SENATOR,23,"DORINGO, NANAY MIMI",MKBYN,200,0.07 %
REGION IX,SULU,SIASI,SENATOR,24,"ESCOBAL, ARNEL",PM,110,0.04 %
REGION IX,SULU,SIASI,SENATOR,25,"ESPIRITU, LUKE",PLM,793,0.27 %
REGION IX,SULU,SIASI,SENATOR,26,"FLORANDA, MODY PISTON",MKBYN,91,0.03 %
REGION IX,SULU,SIASI,SENATOR,27,"GAMBOA, MARC LOUIE",IND,87,0.03 %
REGION IX,SULU,SIASI,SENATOR,28,"GO, BONG GO",PDPLBN,28716,9.91 %
REGION IX,SULU,SIASI,SENATOR,29,"GONZALES, NORBERTO",PDSP,296,0.1 %
REGION IX,SULU,SIASI,SENATOR,30,"HINLO, JAYVEE",PDPLBN,4925,1.7 %
REGION IX,SULU,SIASI,SENATOR,31,"HONASAN, GRINGO",RP,998,0.34 %
REGION IX,SULU,SIASI,SENATOR,32,"JOSE, RELLY JR.",KBL,148,0.05 %
REGION IX,SULU,SIASI,SENATOR,33,"LACSON, PING",IND,18394,6.35 %
REGION IX,SULU,SIASI,SENATOR,34,"LAMBINO, RAUL",PDPLBN,7497,2.59 %
REGION IX,SULU,SIASI,SENATOR,35,"LAPID, LITO",NPC,6787,2.34 %
REGION IX,SULU,SIASI,SENATOR,36,"LEE, MANOY WILBERT",AKSYON,100,0.03 %
REGION IX,SULU,SIASI,SENATOR,37,"LIDASAN, AMIRAH",MKBYN,358,0.12 %
REGION IX,SULU,SIASI,SENATOR,38,"MARCOLETA, RODANTE",IND,27148,9.36 %
REGION IX,SULU,SIASI,SENATOR,39,"MARCOS, IMEE R.",NP,26033,8.98 %
REGION IX,SULU,SIASI,SENATOR,40,"MARQUEZ, NORMAN",IND,215,0.07 %
REGION IX,SULU,SIASI,SENATOR,41,"MARTINEZ, ERIC",IND,77,0.03 %
REGION IX,SULU,SIASI,SENATOR,42,"MATA, DOC MARITES",IND,2842,0.98 %
REGION IX,SULU,SIASI,SENATOR,43,"MATULA, ATTY. SONNY",WPP,78,0.03 %
REGION IX,SULU,SIASI,SENATOR,44,"MAZA, LIZA",MKBYN,78,0.03 %
REGION IX,SULU,SIASI,SENATOR,45,"MENDOZA, HEIDI",IND,375,0.13 %
REGION IX,SULU,SIASI,SENATOR,46,"MONTEMAYOR, JOEY",IND,52,0.02 %
REGION IX,SULU,SIASI,SENATOR,47,"MUSTAPHA, SUBAIR",WPP,91,0.03 %
REGION IX,SULU,SIASI,SENATOR,48,"OLIVAR, JOSE JESSIE",IND,64,0.02 %
REGION IX,SULU,SIASI,SENATOR,49,"ONG, DOC WILLIE",AKSYON,466,0.16 %
REGION IX,SULU,SIASI,SENATOR,50,"PACQUIAO, MANNY PACMAN",PFP,1009,0.35 %
REGION IX,SULU,SIASI,SENATOR,51,"PANGILINAN, KIKO",LP,15059,5.19 %
REGION IX,SULU,SIASI,SENATOR,52,"QUERUBIN, ARIEL PORFIRIO",NP,567,0.2 %
REGION IX,SULU,SIASI,SENATOR,53,"QUIBOLOY, APOLLO",IND,4835,1.67 %
REGION IX,SULU,SIASI,SENATOR,54,"RAMOS, DANILO",MKBYN,108,0.04 %
REGION IX,SULU,SIASI,SENATOR,55,"REVILLAME, WILLIE WIL",IND,1547,0.53 %
REGION IX,SULU,SIASI,SENATOR,56,"RODRIGUEZ, ATTY. VIC",IND,8134,2.81 %
REGION IX,SULU,SIASI,SENATOR,57,"SAHIDULLA, NUR-ANA",IND,3227,1.11 %
REGION IX,SULU,SIASI,SENATOR,58,"SALVADOR, PHILLIP IPE",PDPLBN,10315,3.56 %
REGION IX,SULU,SIASI,SENATOR,59,"SOTTO, TITO",NPC,1260,0.43 %
REGION IX,SULU,SIASI,SENATOR,60,"TAPADO, MICHAEL BONGBONG",PM,154,0.05 %
REGION IX,SULU,SIASI,SENATOR,61,"TOLENTINO, FRANCIS TOL",PFP,14998,5.17 %
REGION IX,SULU,SIASI,SENATOR,62,"TULFO, BEN BITAG",IND,905,0.31 %
REGION IX,SULU,SIASI,SENATOR,63,"TULFO, ERWIN",LAKAS,19119,6.6 %
REGION IX,SULU,SIASI,SENATOR,64,"VALBUENA, MAR MANIBELA",IND,85,0.03 %
REGION IX,SULU,SIASI,SENATOR,65,"VERCELES, LEANDRO",IND,42,0.01 %
REGION IX,SULU,SIASI,SENATOR,66,"VILLAR, CAMILLE",NP,7215,2.49 %
REGION IX,SULU,SIASI,PARTY LIST,,1 4PS,,27,0.09 %
REGION IX,SULU,SIASI,PARTY LIST,,2 PPP,,9,0.03 %
REGION IX,SULU,SIASI,PARTY LIST,,3 FPJ PANDAY BAYANIHAN,,1,0 %
REGION IX,SULU,SIASI,PARTY LIST,,4 KABATAAN,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,5 DUTERTE YOUTH,,76,0.25 %
REGION IX,SULU,SIASI,PARTY LIST,,6 ML,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,7 PBBM,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,8 P3PWD,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,9 MURANG KURYENTE,,1,0 %
REGION IX,SULU,SIASI,PARTY LIST,,10 BICOL SARO,,4,0.01 %
REGION IX,SULU,SIASI,PARTY LIST,,11 IPATUPAD,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,12 PATROL,,1,0 %
REGION IX,SULU,SIASI,PARTY LIST,,13 JUAN PINOY,,1,0 %
REGION IX,SULU,SIASI,PARTY LIST,,14 ARTE,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,15 WIFI,,1,0 %
REGION IX,SULU,SIASI,PARTY LIST,,16 MAAGAP,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,17 UNITED SENIOR CITIZENS,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,18 EPANAW SAMBAYANAN,,2,0.01 %
REGION IX,SULU,SIASI,PARTY LIST,,19 AKO PADAYON,,1,0 %
REGION IX,SULU,SIASI,PARTY LIST,,20 TUCP,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,21 ACT TEACHERS,,2,0.01 %
REGION IX,SULU,SIASI,PARTY LIST,,22 1PACMAN,,2,0.01 %
REGION IX,SULU,SIASI,PARTY LIST,,23 TGP,,2,0.01 %
REGION IX,SULU,SIASI,PARTY LIST,,24 DUMPER PTDA,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,25 ANAKALUSUGAN,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,26 AKSYON DAPAT,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,27 BHW,,15,0.05 %
REGION IX,SULU,SIASI,PARTY LIST,,28 SULONG DIGNIDAD,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,29 BATANG QUIAPO,,1,0 %
REGION IX,SULU,SIASI,PARTY LIST,,30 PBA,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,31 GILAS,,2,0.01 %
REGION IX,SULU,SIASI,PARTY LIST,,32 AKO ILOCANO AKO,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,33 PAMILYANG MAGSASAKA,,1,0 %
REGION IX,SULU,SIASI,PARTY LIST,,34 CLICK PARTY,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,35 ABANTE BISDAK,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,36 MANILA TEACHERS,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,37 PAMANA,,1,0 %
REGION IX,SULU,SIASI,PARTY LIST,,38 NANAY,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,39 KM NGAYON NA,,1,0 %
REGION IX,SULU,SIASI,PARTY LIST,,40 BABAE AKO,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,41 ARISE,,1,0 %
REGION IX,SULU,SIASI,PARTY LIST,,42 MAGDALO,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,43 APEC,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,44 MAGBUBUKID,,3,0.01 %
REGION IX,SULU,SIASI,PARTY LIST,,45 SSS-GSIS PENSYONADO,,5,0.02 %
REGION IX,SULU,SIASI,PARTY LIST,,46 GABRIELA,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,47 TINGOG,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,48 APAT-DAPAT,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,49 AHON MAHIRAP,,2,0.01 %
REGION IX,SULU,SIASI,PARTY LIST,,50 UGB,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,51 AKBAYAN,,3,0.01 %
REGION IX,SULU,SIASI,PARTY LIST,,52 AGIMAT,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,53 PHILRECA,,59,0.19 %
REGION IX,SULU,SIASI,PARTY LIST,,54 KAPUSO PM,,1406,4.63 %
REGION IX,SULU,SIASI,PARTY LIST,,55 ILOCANO DEFENDERS,,3,0.01 %
REGION IX,SULU,SIASI,PARTY LIST,,56 1-RIDER PARTY-LIST,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,57 TICTOK,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,59 BAYAN MUNA,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,60 ANG PROBINSIYANO,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,61 BANAT,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,62 SBP,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,63 BUHAY,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,64 TULUNGAN TAYO,,1,0 %
REGION IX,SULU,SIASI,PARTY LIST,,65 SAGIP,,3,0.01 %
REGION IX,SULU,SIASI,PARTY LIST,,66 BTS BAYANING TSUPER,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,67 VENDORS,,2,0.01 %
REGION IX,SULU,SIASI,PARTY LIST,,68 ACT-CIS,,3,0.01 %
REGION IX,SULU,SIASI,PARTY LIST,,69 AKTIBONG KAAGAPAY,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,70 ASENSO PINOY,,1,0 %
REGION IX,SULU,SIASI,PARTY LIST,,71 SOLO PARENTS,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,72 ANG KOMADRONA,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,73 PROMDI,,4,0.01 %
REGION IX,SULU,SIASI,PARTY LIST,,74 PUSONG PINOY,,68,0.22 %
REGION IX,SULU,SIASI,PARTY LIST,,75 KUSUG TAUSUG,,27485,90.49 %
REGION IX,SULU,SIASI,PARTY LIST,,76 DAMAYANG FILIPINO,,13,0.04 %
REGION IX,SULU,SIASI,PARTY LIST,,77 MPBL,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,78 ANGAT,,3,0.01 %
REGION IX,SULU,SIASI,PARTY LIST,,79 KALINGA,,1,0 %
REGION IX,SULU,SIASI,PARTY LIST,,80 BOSES PARTY-LIST,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,81 ARANGKADA PILIPINO,,1,0 %
REGION IX,SULU,SIASI,PARTY LIST,,82 AANGAT TAYO,,1,0 %
REGION IX,SULU,SIASI,PARTY LIST,,83 OFW,,1,0 %
REGION IX,SULU,SIASI,PARTY LIST,,84 BIDA KATAGUMPAY,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,85 KAMANGGAGAWA,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,86 BFF,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,87 BUNYOG,,1,0 %
REGION IX,SULU,SIASI,PARTY LIST,,88 AGRI,,1,0 %
REGION IX,SULU,SIASI,PARTY LIST,,89 SENIOR CITIZENS,,3,0.01 %
REGION IX,SULU,SIASI,PARTY LIST,,90 4K,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,91 PBP,,1,0 %
REGION IX,SULU,SIASI,PARTY LIST,,92 ONE COOP,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,93 CIBAC,,1,0 %
REGION IX,SULU,SIASI,PARTY LIST,,94 BH - BAGONG HENERASYON,,1,0 %
REGION IX,SULU,SIASI,PARTY LIST,,95 1AGILA,,422,1.39 %
REGION IX,SULU,SIASI,PARTY LIST,,96 EDUAKSYON,,4,0.01 %
REGION IX,SULU,SIASI,PARTY LIST,,97 ANG TINIG NG SENIORS,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,98 BG PARTY-LIST,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,99 PINOY AKO,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,100 H.E.L.P,PILIPINAS,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,101 HEALTH WORKERS,,1,0 %
REGION IX,SULU,SIASI,PARTY LIST,,102 PEOPLE'S CHAMP,,1,0 %
REGION IX,SULU,SIASI,PARTY LIST,,103 AA-KASOSYO PARTY,,678,2.23 %
REGION IX,SULU,SIASI,PARTY LIST,,104 SOLID NORTH PARTY,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,105 ABAMIN,,1,0 %
REGION IX,SULU,SIASI,PARTY LIST,,106 TRABAHO,,3,0.01 %
REGION IX,SULU,SIASI,PARTY LIST,,107 ANGKASANGGA,,2,0.01 %
REGION IX,SULU,SIASI,PARTY LIST,,108 TODA AKSYON,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,109 TURISMO,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,110 ABONO,,1,0 %
REGION IX,SULU,SIASI,PARTY LIST,,111 ASAP NA,,1,0 %
REGION IX,SULU,SIASI,PARTY LIST,,112 LINGAP,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,113 UNITED FRONTLINERS,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,114 KASAMBAHAY,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,115 TUTOK TO WIN,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,116 AKO OFW,,2,0.01 %
REGION IX,SULU,SIASI,PARTY LIST,,117 AGAP,,1,0 %
REGION IX,SULU,SIASI,PARTY LIST,,118 1TAHANAN,,1,0 %
REGION IX,SULU,SIASI,PARTY LIST,,119 COOP-NATCCO,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,120 KABAYAN,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,121 1MUNTI,,1,0 %
REGION IX,SULU,SIASI,PARTY LIST,,122 PINOY WORKERS,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,123 API PARTY,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,124 AKO BISAYA,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,125 KAMALAYAN,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,126 AKO TANOD,,0,0 %
REGION IX,SULU,SIASI,PARTY LIST,,127 PROBINSYANO AKO,,3,0.01 %
