region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IX,ZAMBOANGA DEL NORTE,POLANCO,SENATOR,1,"ABALOS, BENHUR",PFP,3350,2.08 %
REGION IX,ZAMBOANGA DEL NORTE,POLANCO,SENATOR,2,"ADONIS, JEROME",MKBYN,280,0.17 %
REGION IX,ZAMBOANGA DEL NORTE,POLANCO,SENATOR,3,"AMAD, WILSON",IND,245,0.15 %
REGION IX,ZAMBOANGA DEL NORTE,POLANCO,SENATOR,4,"ANDAMO, NARS ALYN",MKBYN,259,0.16 %
REGION IX,ZAMBOANGA DEL NORTE,POLANCO,SENATOR,5,"AQUINO, BAM",KNP,4601,2.86 %
REGION IX,ZAMBOANGA DEL NORTE,POLANCO,SENATOR,6,"ARAMBULO, RONNEL",MKBYN,503,0.31 %
REGION IX,ZAMBOANGA DEL NORTE,POLANCO,SENATOR,7,"ARELLANO, ERNESTO",KTPNAN,254,0.16 %
REGION IX,ZAMBOANGA DEL NORTE,POLANCO,SENATOR,8,"BALLON, ROBERTO",IND,436,0.27 %
REGION IX,ZAMBOANGA DEL NORTE,POLANCO,SENATOR,9,"BINAY, ABBY",NPC,4269,2.65 %
REGION IX,ZAMBOANGA DEL NORTE,POLANCO,SENATOR,10,"BONDOC, JIMMY",PDPLBN,6492,4.03 %
REGION IX,ZAMBOANGA DEL NORTE,POLANCO,SENATOR,11,"BONG REVILLA,RAMON, JR.",LAKAS,7167,4.45 %
REGION IX,ZAMBOANGA DEL NORTE,POLANCO,SENATOR,12,"BOSITA, COLONEL",IND,1914,1.19 %
REGION IX,ZAMBOANGA DEL NORTE,POLANCO,SENATOR,13,"BROSAS, ARLENE",MKBYN,498,0.31 %
REGION IX,ZAMBOANGA DEL NORTE,POLANCO,SENATOR,14,"CABONEGRO, ROY",DPP,191,0.12 %
REGION IX,ZAMBOANGA DEL NORTE,POLANCO,SENATOR,15,"CAPUYAN, ALLEN",PPP,281,0.17 %
REGION IX,ZAMBOANGA DEL NORTE,POLANCO,SENATOR,16,"CASIÑO, TEDDY",MKBYN,527,0.33 %
REGION IX,ZAMBOANGA DEL NORTE,POLANCO,SENATOR,17,"CASTRO, TEACHER FRANCE",MKBYN,555,0.34 %
REGION IX,ZAMBOANGA DEL NORTE,POLANCO,SENATOR,18,"CAYETANO, PIA",NP,3599,2.24 %
REGION IX,ZAMBOANGA DEL NORTE,POLANCO,SENATOR,19,"D'ANGELO, DAVID",BUNYOG,180,0.11 %
REGION IX,ZAMBOANGA DEL NORTE,POLANCO,SENATOR,20,"DE ALBAN,ATTORNEY ANGELO",IND,557,0.35 %
REGION IX,ZAMBOANGA DEL NORTE,POLANCO,SENATOR,21,"DE GUZMAN, KA LEODY",PLM,585,0.36 %
REGION IX,ZAMBOANGA DEL NORTE,POLANCO,SENATOR,22,"DELA ROSA, BATO",PDPLBN,11975,7.44 %
REGION IX,ZAMBOANGA DEL NORTE,POLANCO,SENATOR,23,"DORINGO, NANAY MIMI",MKBYN,264,0.16 %
REGION IX,ZAMBOANGA DEL NORTE,POLANCO,SENATOR,24,"ESCOBAL, ARNEL",PM,196,0.12 %
REGION IX,ZAMBOANGA DEL NORTE,POLANCO,SENATOR,25,"ESPIRITU, LUKE",PLM,936,0.58 %
REGION IX,ZAMBOANGA DEL NORTE,POLANCO,SENATOR,26,"FLORANDA, MODY PISTON",MKBYN,183,0.11 %
REGION IX,ZAMBOANGA DEL NORTE,POLANCO,SENATOR,27,"GAMBOA, MARC LOUIE",IND,205,0.13 %
REGION IX,ZAMBOANGA DEL NORTE,POLANCO,SENATOR,28,"GO, BONG GO",PDPLBN,12470,7.74 %
REGION IX,ZAMBOANGA DEL NORTE,POLANCO,SENATOR,29,"GONZALES, NORBERTO",PDSP,331,0.21 %
