region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IX,ZAMBOANGA DEL SUR,TABINA,SENATOR,1,"ABALOS, BENHUR",PFP,2717,3.07 %
REGION IX,ZAMBOANGA DEL SUR,TABINA,SENATOR,2,"ADONIS, JEROME",MKBYN,79,0.09 %
REGION IX,ZAMBOANGA DEL SUR,TABINA,SENATOR,3,"AMAD, WILSON",IND,117,0.13 %
REGION IX,ZAMBOANGA DEL SUR,TABINA,SENATOR,4,"ANDAMO, NARS ALYN",MKBYN,58,0.07 %
REGION IX,ZAMBOANGA DEL SUR,TABINA,SENATOR,5,"AQUINO, BAM",KNP,1821,2.06 %
REGION IX,ZAMBOANGA DEL SUR,TABINA,SENATOR,6,"ARAMBULO, RONNEL",MKBYN,134,0.15 %
REGION IX,ZAMBOANGA DEL SUR,TABINA,SENATOR,7,"ARELLANO, ERNESTO",KTPNAN,90,0.1 %
REGION IX,ZAMBOANGA DEL SUR,TABINA,SENATOR,8,"BALLON, ROBERTO",IND,157,0.18 %
REGION IX,ZAMBOANGA DEL SUR,TABINA,SENATOR,9,"BINAY, ABBY",NPC,5576,6.3 %
REGION IX,ZAMBOANGA DEL SUR,TABINA,SENATOR,10,"BONDOC, JIMMY",PDPLBN,2551,2.88 %
REGION IX,ZAMBOANGA DEL SUR,TABINA,SENATOR,11,"BONG REVILLA,RAMON, JR.",LAKAS,2945,3.33 %
REGION IX,ZAMBOANGA DEL SUR,TABINA,SENATOR,12,"BOSITA, COLONEL",IND,531,0.6 %
REGION IX,ZAMBOANGA DEL SUR,TABINA,SENATOR,13,"BROSAS, ARLENE",MKBYN,149,0.17 %
REGION IX,ZAMBOANGA DEL SUR,TABINA,SENATOR,14,"CABONEGRO, ROY",DPP,59,0.07 %
REGION IX,ZAMBOANGA DEL SUR,TABINA,SENATOR,15,"CAPUYAN, ALLEN",PPP,310,0.35 %
REGION IX,ZAMBOANGA DEL SUR,TABINA,SENATOR,16,"CASIÑO, TEDDY",MKBYN,149,0.17 %
REGION IX,ZAMBOANGA DEL SUR,TABINA,SENATOR,17,"CASTRO, TEACHER FRANCE",MKBYN,161,0.18 %
REGION IX,ZAMBOANGA DEL SUR,TABINA,SENATOR,18,"CAYETANO, PIA",NP,2987,3.38 %
REGION IX,ZAMBOANGA DEL SUR,TABINA,SENATOR,19,"D'ANGELO, DAVID",BUNYOG,40,0.05 %
REGION IX,ZAMBOANGA DEL SUR,TABINA,SENATOR,20,"DE ALBAN,ATTORNEY ANGELO",IND,143,0.16 %
REGION IX,ZAMBOANGA DEL SUR,TABINA,SENATOR,21,"DE GUZMAN, KA LEODY",PLM,1193,1.35 %
REGION IX,ZAMBOANGA DEL SUR,TABINA,SENATOR,22,"DELA ROSA, BATO",PDPLBN,6179,6.98 %
REGION IX,ZAMBOANGA DEL SUR,TABINA,SENATOR,23,"DORINGO, NANAY MIMI",MKBYN,87,0.1 %
REGION IX,ZAMBOANGA DEL SUR,TABINA,SENATOR,24,"ESCOBAL, ARNEL",PM,86,0.1 %
REGION IX,ZAMBOANGA DEL SUR,TABINA,SENATOR,25,"ESPIRITU, LUKE",PLM,1303,1.47 %
REGION IX,ZAMBOANGA DEL SUR,TABINA,SENATOR,26,"FLORANDA, MODY PISTON",MKBYN,55,0.06 %
REGION IX,ZAMBOANGA DEL SUR,TABINA,SENATOR,27,"GAMBOA, MARC LOUIE",IND,85,0.1 %
REGION IX,ZAMBOANGA DEL SUR,TABINA,SENATOR,28,"GO, BONG GO",PDPLBN,8500,9.61 %
REGION IX,ZAMBOANGA DEL SUR,TABINA,SENATOR,29,"GONZALES, NORBERTO",PDSP,80,0.09 %
