region,province,city,position,rank,candidate_name,party,votes,percentage
REGION V,MASBATE,MOBO,SENATOR,1,"ABALOS, BENHUR",PFP,3312,2.74 %
REGION V,MASBATE,MOBO,SENATOR,2,"ADONIS, JEROME",MKBYN,540,0.45 %
REGION V,MASBATE,MOBO,SENATOR,3,"AMAD, WILSON",IND,426,0.35 %
REGION V,MASBATE,MOBO,SENATOR,4,"ANDAMO, NARS ALYN",MKBYN,384,0.32 %
REGION V,MASBATE,MOBO,SENATOR,5,"AQUINO, BAM",KNP,7641,6.33 %
REGION V,MASBATE,MOBO,SENATOR,6,"ARAMBULO, RONNEL",MKBYN,804,0.67 %
REGION V,MASBATE,MOBO,SENATOR,7,"ARELLANO, ERNESTO",KTPNAN,492,0.41 %
REGION V,MASBATE,MOBO,SENATOR,8,"BALLON, ROBERTO",IND,712,0.59 %
REGION V,MASBATE,MOBO,SENATOR,9,"BINAY, ABBY",NPC,3985,3.3 %
REGION V,MASBATE,MOBO,SENATOR,10,"BONDOC, JIMMY",PDPLBN,1358,1.12 %
REGION V,MASBATE,MOBO,SENATOR,11,"BONG REVILLA,RAMON, JR.",LAKAS,4626,3.83 %
REGION V,MASBATE,MOBO,SENATOR,12,"BOSITA, COLONEL",IND,2387,1.98 %
REGION V,MASBATE,MOBO,SENATOR,13,"BROSAS, ARLENE",MKBYN,827,0.69 %
REGION V,MASBATE,MOBO,SENATOR,14,"CABONEGRO, ROY",DPP,248,0.21 %
REGION V,MASBATE,MOBO,SENATOR,15,"CAPUYAN, ALLEN",PPP,347,0.29 %
REGION V,MASBATE,MOBO,SENATOR,16,"CASIÑO, TEDDY",MKBYN,1006,0.83 %
REGION V,MASBATE,MOBO,SENATOR,17,"CASTRO, TEACHER FRANCE",MKBYN,1170,0.97 %
REGION V,MASBATE,MOBO,SENATOR,18,"CAYETANO, PIA",NP,4196,3.48 %
REGION V,MASBATE,MOBO,SENATOR,19,"D'ANGELO, DAVID",BUNYOG,266,0.22 %
REGION V,MASBATE,MOBO,SENATOR,20,"DE ALBAN,ATTORNEY ANGELO",IND,552,0.46 %
REGION V,MASBATE,MOBO,SENATOR,21,"DE GUZMAN, KA LEODY",PLM,830,0.69 %
REGION V,MASBATE,MOBO,SENATOR,22,"DELA ROSA, BATO",PDPLBN,4130,3.42 %
REGION V,MASBATE,MOBO,SENATOR,23,"DORINGO, NANAY MIMI",MKBYN,408,0.34 %
REGION V,MASBATE,MOBO,SENATOR,24,"ESCOBAL, ARNEL",PM,399,0.33 %
REGION V,MASBATE,MOBO,SENATOR,25,"ESPIRITU, LUKE",PLM,1511,1.25 %
REGION V,MASBATE,MOBO,SENATOR,26,"FLORANDA, MODY PISTON",MKBYN,376,0.31 %
REGION V,MASBATE,MOBO,SENATOR,27,"GAMBOA, MARC LOUIE",IND,311,0.26 %
REGION V,MASBATE,MOBO,SENATOR,28,"GO, BONG GO",PDPLBN,6259,5.18 %
REGION V,MASBATE,MOBO,SENATOR,29,"GONZALES, NORBERTO",PDSP,338,0.28 %
REGION V,MASBATE,MOBO,SENATOR,30,"HINLO, JAYVEE",PDPLBN,806,0.67 %
REGION V,MASBATE,MOBO,SENATOR,31,"HONASAN, GRINGO",RP,1533,1.27 %
REGION V,MASBATE,MOBO,SENATOR,32,"JOSE, RELLY JR.",KBL,277,0.23 %
REGION V,MASBATE,MOBO,SENATOR,33,"LACSON, PING",IND,5201,4.31 %
REGION V,MASBATE,MOBO,SENATOR,34,"LAMBINO, RAUL",PDPLBN,876,0.73 %
REGION V,MASBATE,MOBO,SENATOR,35,"LAPID, LITO",NPC,5725,4.74 %
REGION V,MASBATE,MOBO,SENATOR,36,"LEE, MANOY WILBERT",AKSYON,269,0.22 %
REGION V,MASBATE,MOBO,SENATOR,37,"LIDASAN, AMIRAH",MKBYN,201,0.17 %
REGION V,MASBATE,MOBO,SENATOR,38,"MARCOLETA, RODANTE",IND,2505,2.08 %
REGION V,MASBATE,MOBO,SENATOR,39,"MARCOS, IMEE R.",NP,2899,2.4 %
REGION V,MASBATE,MOBO,SENATOR,40,"MARQUEZ, NORMAN",IND,330,0.27 %
REGION V,MASBATE,MOBO,SENATOR,41,"MARTINEZ, ERIC",IND,405,0.34 %
REGION V,MASBATE,MOBO,SENATOR,42,"MATA, DOC MARITES",IND,751,0.62 %
REGION V,MASBATE,MOBO,SENATOR,43,"MATULA, ATTY. SONNY",WPP,673,0.56 %
REGION V,MASBATE,MOBO,SENATOR,44,"MAZA, LIZA",MKBYN,739,0.61 %
REGION V,MASBATE,MOBO,SENATOR,45,"MENDOZA, HEIDI",IND,1968,1.63 %
REGION V,MASBATE,MOBO,SENATOR,46,"MONTEMAYOR, JOEY",IND,280,0.23 %
REGION V,MASBATE,MOBO,SENATOR,47,"MUSTAPHA, SUBAIR",WPP,172,0.14 %
REGION V,MASBATE,MOBO,SENATOR,48,"OLIVAR, JOSE JESSIE",IND,202,0.17 %
REGION V,MASBATE,MOBO,SENATOR,49,"ONG, DOC WILLIE",AKSYON,2100,1.74 %
REGION V,MASBATE,MOBO,SENATOR,50,"PACQUIAO, MANNY PACMAN",PFP,4335,3.59 %
REGION V,MASBATE,MOBO,SENATOR,51,"PANGILINAN, KIKO",LP,4830,4 %
REGION V,MASBATE,MOBO,SENATOR,52,"QUERUBIN, ARIEL PORFIRIO",NP,724,0.6 %
REGION V,MASBATE,MOBO,SENATOR,53,"QUIBOLOY, APOLLO",IND,674,0.56 %
REGION V,MASBATE,MOBO,SENATOR,54,"RAMOS, DANILO",MKBYN,872,0.72 %
REGION V,MASBATE,MOBO,SENATOR,55,"REVILLAME, WILLIE WIL",IND,3631,3.01 %
REGION V,MASBATE,MOBO,SENATOR,56,"RODRIGUEZ, ATTY. VIC",IND,1160,0.96 %
REGION V,MASBATE,MOBO,SENATOR,57,"SAHIDULLA, NUR-ANA",IND,143,0.12 %
REGION V,MASBATE,MOBO,SENATOR,58,"SALVADOR, PHILLIP IPE",PDPLBN,2039,1.69 %
REGION V,MASBATE,MOBO,SENATOR,59,"SOTTO, TITO",NPC,5840,4.84 %
REGION V,MASBATE,MOBO,SENATOR,60,"TAPADO, MICHAEL BONGBONG",PM,269,0.22 %
REGION V,MASBATE,MOBO,SENATOR,61,"TOLENTINO, FRANCIS TOL",PFP,1791,1.48 %
REGION V,MASBATE,MOBO,SENATOR,62,"TULFO, BEN BITAG",IND,5096,4.22 %
REGION V,MASBATE,MOBO,SENATOR,63,"TULFO, ERWIN",LAKAS,6834,5.66 %
REGION V,MASBATE,MOBO,SENATOR,64,"VALBUENA, MAR MANIBELA",IND,252,0.21 %
REGION V,MASBATE,MOBO,SENATOR,65,"VERCELES, LEANDRO",IND,112,0.09 %
REGION V,MASBATE,MOBO,SENATOR,66,"VILLAR, CAMILLE",NP,4361,3.61 %
REGION V,MASBATE,MOBO,PARTY LIST,,1 4PS,,1016,7.8 %
REGION V,MASBATE,MOBO,PARTY LIST,,2 PPP,,21,0.16 %
REGION V,MASBATE,MOBO,PARTY LIST,,3 FPJ PANDAY BAYANIHAN,,72,0.55 %
REGION V,MASBATE,MOBO,PARTY LIST,,4 KABATAAN,,61,0.47 %
REGION V,MASBATE,MOBO,PARTY LIST,,5 DUTERTE YOUTH,,300,2.3 %
REGION V,MASBATE,MOBO,PARTY LIST,,6 ML,,165,1.27 %
REGION V,MASBATE,MOBO,PARTY LIST,,7 PBBM,,104,0.8 %
REGION V,MASBATE,MOBO,PARTY LIST,,8 P3PWD,,31,0.24 %
REGION V,MASBATE,MOBO,PARTY LIST,,9 MURANG KURYENTE,,31,0.24 %
REGION V,MASBATE,MOBO,PARTY LIST,,10 BICOL SARO,,196,1.5 %
REGION V,MASBATE,MOBO,PARTY LIST,,11 IPATUPAD,,50,0.38 %
REGION V,MASBATE,MOBO,PARTY LIST,,12 PATROL,,11,0.08 %
REGION V,MASBATE,MOBO,PARTY LIST,,13 JUAN PINOY,,8,0.06 %
REGION V,MASBATE,MOBO,PARTY LIST,,14 ARTE,,5,0.04 %
REGION V,MASBATE,MOBO,PARTY LIST,,15 WIFI,,25,0.19 %
REGION V,MASBATE,MOBO,PARTY LIST,,16 MAAGAP,,19,0.15 %
REGION V,MASBATE,MOBO,PARTY LIST,,17 UNITED SENIOR CITIZENS,,177,1.36 %
REGION V,MASBATE,MOBO,PARTY LIST,,18 EPANAW SAMBAYANAN,,12,0.09 %
REGION V,MASBATE,MOBO,PARTY LIST,,19 AKO PADAYON,,17,0.13 %
REGION V,MASBATE,MOBO,PARTY LIST,,20 TUCP,,13,0.1 %
REGION V,MASBATE,MOBO,PARTY LIST,,21 ACT TEACHERS,,169,1.3 %
REGION V,MASBATE,MOBO,PARTY LIST,,22 1PACMAN,,34,0.26 %
REGION V,MASBATE,MOBO,PARTY LIST,,23 TGP,,25,0.19 %
REGION V,MASBATE,MOBO,PARTY LIST,,24 DUMPER PTDA,,1,0.01 %
REGION V,MASBATE,MOBO,PARTY LIST,,25 ANAKALUSUGAN,,1,0.01 %
REGION V,MASBATE,MOBO,PARTY LIST,,26 AKSYON DAPAT,,9,0.07 %
REGION V,MASBATE,MOBO,PARTY LIST,,27 BHW,,31,0.24 %
REGION V,MASBATE,MOBO,PARTY LIST,,28 SULONG DIGNIDAD,,1,0.01 %
REGION V,MASBATE,MOBO,PARTY LIST,,29 BATANG QUIAPO,,25,0.19 %
REGION V,MASBATE,MOBO,PARTY LIST,,30 PBA,,5,0.04 %
REGION V,MASBATE,MOBO,PARTY LIST,,31 GILAS,,10,0.08 %
REGION V,MASBATE,MOBO,PARTY LIST,,32 AKO ILOCANO AKO,,21,0.16 %
REGION V,MASBATE,MOBO,PARTY LIST,,33 PAMILYANG MAGSASAKA,,31,0.24 %
REGION V,MASBATE,MOBO,PARTY LIST,,34 CLICK PARTY,,4,0.03 %
REGION V,MASBATE,MOBO,PARTY LIST,,35 ABANTE BISDAK,,4,0.03 %
REGION V,MASBATE,MOBO,PARTY LIST,,36 MANILA TEACHERS,,78,0.6 %
REGION V,MASBATE,MOBO,PARTY LIST,,37 PAMANA,,3,0.02 %
REGION V,MASBATE,MOBO,PARTY LIST,,38 NANAY,,6,0.05 %
REGION V,MASBATE,MOBO,PARTY LIST,,39 KM NGAYON NA,,1,0.01 %
REGION V,MASBATE,MOBO,PARTY LIST,,40 BABAE AKO,,82,0.63 %
REGION V,MASBATE,MOBO,PARTY LIST,,41 ARISE,,6,0.05 %
REGION V,MASBATE,MOBO,PARTY LIST,,42 MAGDALO,,12,0.09 %
REGION V,MASBATE,MOBO,PARTY LIST,,43 APEC,,5,0.04 %
REGION V,MASBATE,MOBO,PARTY LIST,,44 MAGBUBUKID,,251,1.93 %
REGION V,MASBATE,MOBO,PARTY LIST,,45 SSS-GSIS PENSYONADO,,25,0.19 %
REGION V,MASBATE,MOBO,PARTY LIST,,46 GABRIELA,,70,0.54 %
REGION V,MASBATE,MOBO,PARTY LIST,,47 TINGOG,,12,0.09 %
REGION V,MASBATE,MOBO,PARTY LIST,,48 APAT-DAPAT,,12,0.09 %
REGION V,MASBATE,MOBO,PARTY LIST,,49 AHON MAHIRAP,,25,0.19 %
REGION V,MASBATE,MOBO,PARTY LIST,,50 UGB,,7,0.05 %
