region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VI,AKLAN,LIBACAO,SENATOR,1,"ABALOS, BENHUR",PFP,2790,3.2 %
REGION VI,AKLAN,LIBACAO,SENATOR,2,"ADONIS, JEROME",MKBYN,184,0.21 %
REGION VI,AKLAN,LIBACAO,SENATOR,3,"AMAD, WILSON",IND,147,0.17 %
REGION VI,AKLAN,LIBACAO,SENATOR,4,"ANDAMO, NARS ALYN",MKBYN,166,0.19 %
REGION VI,AKLAN,LIBACAO,SENATOR,5,"AQUINO, BAM",KNP,5382,6.17 %
REGION VI,AKLAN,LIBACAO,SENATOR,6,"ARAMBULO, RONNEL",MKBYN,455,0.52 %
REGION VI,AKLAN,LIBACAO,SENATOR,7,"ARELLANO, ERNESTO",KTPNAN,139,0.16 %
REGION VI,AKLAN,LIBACAO,SENATOR,8,"BALLON, ROBERTO",IND,285,0.33 %
REGION VI,AKLAN,LIBACAO,SENATOR,9,"BINAY, ABBY",NPC,3946,4.52 %
REGION VI,AKLAN,LIBACAO,SENATOR,10,"BONDOC, JIMMY",PDPLBN,836,0.96 %
REGION VI,AKLAN,LIBACAO,SENATOR,11,"BONG REVILLA,RAMON, JR.",LAKAS,3888,4.45 %
REGION VI,AKLAN,LIBACAO,SENATOR,12,"BOSITA, COLONEL",IND,1297,1.49 %
REGION VI,AKLAN,LIBACAO,SENATOR,13,"BROSAS, ARLENE",MKBYN,522,0.6 %
REGION VI,AKLAN,LIBACAO,SENATOR,14,"CABONEGRO, ROY",DPP,71,0.08 %
REGION VI,AKLAN,LIBACAO,SENATOR,15,"CAPUYAN, ALLEN",PPP,165,0.19 %
REGION VI,AKLAN,LIBACAO,SENATOR,16,"CASIÑO, TEDDY",MKBYN,704,0.81 %
REGION VI,AKLAN,LIBACAO,SENATOR,17,"CASTRO, TEACHER FRANCE",MKBYN,559,0.64 %
REGION VI,AKLAN,LIBACAO,SENATOR,18,"CAYETANO, PIA",NP,5869,6.72 %
REGION VI,AKLAN,LIBACAO,SENATOR,19,"D'ANGELO, DAVID",BUNYOG,110,0.13 %
REGION VI,AKLAN,LIBACAO,SENATOR,20,"DE ALBAN,ATTORNEY ANGELO",IND,323,0.37 %
REGION VI,AKLAN,LIBACAO,SENATOR,21,"DE GUZMAN, KA LEODY",PLM,535,0.61 %
REGION VI,AKLAN,LIBACAO,SENATOR,22,"DELA ROSA, BATO",PDPLBN,2849,3.26 %
REGION VI,AKLAN,LIBACAO,SENATOR,23,"DORINGO, NANAY MIMI",MKBYN,137,0.16 %
REGION VI,AKLAN,LIBACAO,SENATOR,24,"ESCOBAL, ARNEL",PM,122,0.14 %
REGION VI,AKLAN,LIBACAO,SENATOR,25,"ESPIRITU, LUKE",PLM,979,1.12 %
REGION VI,AKLAN,LIBACAO,SENATOR,26,"FLORANDA, MODY PISTON",MKBYN,110,0.13 %
REGION VI,AKLAN,LIBACAO,SENATOR,27,"GAMBOA, MARC LOUIE",IND,81,0.09 %
REGION VI,AKLAN,LIBACAO,SENATOR,28,"GO, BONG GO",PDPLBN,5116,5.86 %
REGION VI,AKLAN,LIBACAO,SENATOR,29,"GONZALES, NORBERTO",PDSP,178,0.2 %
REGION VI,AKLAN,LIBACAO,SENATOR,30,"HINLO, JAYVEE",PDPLBN,468,0.54 %
REGION VI,AKLAN,LIBACAO,SENATOR,31,"HONASAN, GRINGO",RP,682,0.78 %
REGION VI,AKLAN,LIBACAO,SENATOR,32,"JOSE, RELLY JR.",KBL,113,0.13 %
REGION VI,AKLAN,LIBACAO,SENATOR,33,"LACSON, PING",IND,2824,3.24 %
REGION VI,AKLAN,LIBACAO,SENATOR,34,"LAMBINO, RAUL",PDPLBN,552,0.63 %
REGION VI,AKLAN,LIBACAO,SENATOR,35,"LAPID, LITO",NPC,3209,3.68 %
REGION VI,AKLAN,LIBACAO,SENATOR,36,"LEE, MANOY WILBERT",AKSYON,93,0.11 %
REGION VI,AKLAN,LIBACAO,SENATOR,37,"LIDASAN, AMIRAH",MKBYN,70,0.08 %
REGION VI,AKLAN,LIBACAO,SENATOR,38,"MARCOLETA, RODANTE",IND,2151,2.46 %
REGION VI,AKLAN,LIBACAO,SENATOR,39,"MARCOS, IMEE R.",NP,3047,3.49 %
REGION VI,AKLAN,LIBACAO,SENATOR,40,"MARQUEZ, NORMAN",IND,340,0.39 %
REGION VI,AKLAN,LIBACAO,SENATOR,41,"MARTINEZ, ERIC",IND,151,0.17 %
REGION VI,AKLAN,LIBACAO,SENATOR,42,"MATA, DOC MARITES",IND,454,0.52 %
REGION VI,AKLAN,LIBACAO,SENATOR,43,"MATULA, ATTY. SONNY",WPP,469,0.54 %
REGION VI,AKLAN,LIBACAO,SENATOR,44,"MAZA, LIZA",MKBYN,442,0.51 %
REGION VI,AKLAN,LIBACAO,SENATOR,45,"MENDOZA, HEIDI",IND,1262,1.45 %
REGION VI,AKLAN,LIBACAO,SENATOR,46,"MONTEMAYOR, JOEY",IND,114,0.13 %
REGION VI,AKLAN,LIBACAO,SENATOR,47,"MUSTAPHA, SUBAIR",WPP,50,0.06 %
REGION VI,AKLAN,LIBACAO,SENATOR,48,"OLIVAR, JOSE JESSIE",IND,79,0.09 %
REGION VI,AKLAN,LIBACAO,SENATOR,49,"ONG, DOC WILLIE",AKSYON,1284,1.47 %
REGION VI,AKLAN,LIBACAO,SENATOR,50,"PACQUIAO, MANNY PACMAN",PFP,3628,4.16 %
REGION VI,AKLAN,LIBACAO,SENATOR,51,"PANGILINAN, KIKO",LP,3019,3.46 %
REGION VI,AKLAN,LIBACAO,SENATOR,52,"QUERUBIN, ARIEL PORFIRIO",NP,665,0.76 %
REGION VI,AKLAN,LIBACAO,SENATOR,53,"QUIBOLOY, APOLLO",IND,435,0.5 %
REGION VI,AKLAN,LIBACAO,SENATOR,54,"RAMOS, DANILO",MKBYN,607,0.7 %
REGION VI,AKLAN,LIBACAO,SENATOR,55,"REVILLAME, WILLIE WIL",IND,3334,3.82 %
REGION VI,AKLAN,LIBACAO,SENATOR,56,"RODRIGUEZ, ATTY. VIC",IND,898,1.03 %
REGION VI,AKLAN,LIBACAO,SENATOR,57,"SAHIDULLA, NUR-ANA",IND,48,0.05 %
REGION VI,AKLAN,LIBACAO,SENATOR,58,"SALVADOR, PHILLIP IPE",PDPLBN,1099,1.26 %
REGION VI,AKLAN,LIBACAO,SENATOR,59,"SOTTO, TITO",NPC,2980,3.41 %
REGION VI,AKLAN,LIBACAO,SENATOR,60,"TAPADO, MICHAEL BONGBONG",PM,155,0.18 %
REGION VI,AKLAN,LIBACAO,SENATOR,61,"TOLENTINO, FRANCIS TOL",PFP,1907,2.18 %
REGION VI,AKLAN,LIBACAO,SENATOR,62,"TULFO, BEN BITAG",IND,3144,3.6 %
REGION VI,AKLAN,LIBACAO,SENATOR,63,"TULFO, ERWIN",LAKAS,5252,6.02 %
REGION VI,AKLAN,LIBACAO,SENATOR,64,"VALBUENA, MAR MANIBELA",IND,117,0.13 %
REGION VI,AKLAN,LIBACAO,SENATOR,65,"VERCELES, LEANDRO",IND,57,0.07 %
REGION VI,AKLAN,LIBACAO,SENATOR,66,"VILLAR, CAMILLE",NP,4138,4.74 %
REGION VI,AKLAN,LIBACAO,PARTY LIST,,1 4PS,,847,7.92 %
REGION VI,AKLAN,LIBACAO,PARTY LIST,,2 PPP,,13,0.12 %
REGION VI,AKLAN,LIBACAO,PARTY LIST,,3 FPJ PANDAY BAYANIHAN,,42,0.39 %
REGION VI,AKLAN,LIBACAO,PARTY LIST,,4 KABATAAN,,48,0.45 %
REGION VI,AKLAN,LIBACAO,PARTY LIST,,5 DUTERTE YOUTH,,137,1.28 %
REGION VI,AKLAN,LIBACAO,PARTY LIST,,6 ML,,48,0.45 %
REGION VI,AKLAN,LIBACAO,PARTY LIST,,7 PBBM,,21,0.2 %
REGION VI,AKLAN,LIBACAO,PARTY LIST,,8 P3PWD,,221,2.07 %
REGION VI,AKLAN,LIBACAO,PARTY LIST,,9 MURANG KURYENTE,,20,0.19 %
REGION VI,AKLAN,LIBACAO,PARTY LIST,,10 BICOL SARO,,10,0.09 %
REGION VI,AKLAN,LIBACAO,PARTY LIST,,11 IPATUPAD,,20,0.19 %
REGION VI,AKLAN,LIBACAO,PARTY LIST,,12 PATROL,,6,0.06 %
REGION VI,AKLAN,LIBACAO,PARTY LIST,,13 JUAN PINOY,,2,0.02 %
REGION VI,AKLAN,LIBACAO,PARTY LIST,,14 ARTE,,3,0.03 %
REGION VI,AKLAN,LIBACAO,PARTY LIST,,15 WIFI,,19,0.18 %
REGION VI,AKLAN,LIBACAO,PARTY LIST,,16 MAAGAP,,8,0.07 %
REGION VI,AKLAN,LIBACAO,PARTY LIST,,17 UNITED SENIOR CITIZENS,,115,1.08 %
REGION VI,AKLAN,LIBACAO,PARTY LIST,,18 EPANAW SAMBAYANAN,,14,0.13 %
