region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VI,ANTIQUE,LAUA-AN,SENATOR,1,"ABALOS, BENHUR",PFP,3275,3.43 %
REGION VI,ANTIQUE,LAUA-AN,SENATOR,2,"ADONIS, JEROME",MKBYN,265,0.28 %
REGION VI,ANTIQUE,LAUA-AN,SENATOR,3,"AMAD, WILSON",IND,220,0.23 %
REGION VI,ANTIQUE,LAUA-AN,SENATOR,4,"ANDAMO, NARS ALYN",MKBYN,224,0.23 %
REGION VI,ANTIQUE,LAUA-AN,SENATOR,5,"AQUINO, BAM",KNP,5900,6.19 %
REGION VI,ANTIQUE,LAUA-AN,SENATOR,6,"ARAMBULO, RONNEL",MKBYN,643,0.67 %
REGION VI,ANTIQUE,LAUA-AN,SENATOR,7,"ARELLANO, ERNESTO",KTPNAN,237,0.25 %
REGION VI,ANTIQUE,LAUA-AN,SENATOR,8,"BALLON, ROBERTO",IND,442,0.46 %
REGION VI,ANTIQUE,LAUA-AN,SENATOR,9,"BINAY, ABBY",NPC,3844,4.03 %
REGION VI,ANTIQUE,LAUA-AN,SENATOR,10,"BONDOC, JIMMY",PDPLBN,1004,1.05 %
REGION VI,ANTIQUE,LAUA-AN,SENATOR,11,"BONG REVILLA,RAMON, JR.",LAKAS,3535,3.71 %
REGION VI,ANTIQUE,LAUA-AN,SENATOR,12,"BOSITA, COLONEL",IND,1624,1.7 %
REGION VI,ANTIQUE,LAUA-AN,SENATOR,13,"BROSAS, ARLENE",MKBYN,788,0.83 %
REGION VI,ANTIQUE,LAUA-AN,SENATOR,14,"CABONEGRO, ROY",DPP,103,0.11 %
REGION VI,ANTIQUE,LAUA-AN,SENATOR,15,"CAPUYAN, ALLEN",PPP,195,0.2 %
REGION VI,ANTIQUE,LAUA-AN,SENATOR,16,"CASIÑO, TEDDY",MKBYN,725,0.76 %
REGION VI,ANTIQUE,LAUA-AN,SENATOR,17,"CASTRO, TEACHER FRANCE",MKBYN,848,0.89 %
REGION VI,ANTIQUE,LAUA-AN,SENATOR,18,"CAYETANO, PIA",NP,3481,3.65 %
REGION VI,ANTIQUE,LAUA-AN,SENATOR,19,"D'ANGELO, DAVID",BUNYOG,162,0.17 %
REGION VI,ANTIQUE,LAUA-AN,SENATOR,20,"DE ALBAN,ATTORNEY ANGELO",IND,422,0.44 %
REGION VI,ANTIQUE,LAUA-AN,SENATOR,21,"DE GUZMAN, KA LEODY",PLM,755,0.79 %
REGION VI,ANTIQUE,LAUA-AN,SENATOR,22,"DELA ROSA, BATO",PDPLBN,2929,3.07 %
REGION VI,ANTIQUE,LAUA-AN,SENATOR,23,"DORINGO, NANAY MIMI",MKBYN,192,0.2 %
REGION VI,ANTIQUE,LAUA-AN,SENATOR,24,"ESCOBAL, ARNEL",PM,176,0.18 %
REGION VI,ANTIQUE,LAUA-AN,SENATOR,25,"ESPIRITU, LUKE",PLM,1303,1.37 %
REGION VI,ANTIQUE,LAUA-AN,SENATOR,26,"FLORANDA, MODY PISTON",MKBYN,155,0.16 %
REGION VI,ANTIQUE,LAUA-AN,SENATOR,27,"GAMBOA, MARC LOUIE",IND,138,0.14 %
REGION VI,ANTIQUE,LAUA-AN,SENATOR,28,"GO, BONG GO",PDPLBN,5284,5.54 %
REGION VI,ANTIQUE,LAUA-AN,SENATOR,29,"GONZALES, NORBERTO",PDSP,211,0.22 %
REGION VI,ANTIQUE,LAUA-AN,SENATOR,30,"HINLO, JAYVEE",PDPLBN,640,0.67 %
REGION VI,ANTIQUE,LAUA-AN,SENATOR,31,"HONASAN, GRINGO",RP,1132,1.19 %
REGION VI,ANTIQUE,LAUA-AN,SENATOR,32,"JOSE, RELLY JR.",KBL,538,0.56 %
REGION VI,ANTIQUE,LAUA-AN,SENATOR,33,"LACSON, PING",IND,3806,3.99 %
