region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VII,CEBU,ASTURIAS,SENATOR,1,"ABALOS, BENHUR",PFP,2554,1.21 %
REGION VII,CEBU,ASTURIAS,SENATOR,2,"ADONIS, JEROME",MKBYN,631,0.3 %
REGION VII,CEBU,ASTURIAS,SENATOR,3,"AMAD, WILSON",IND,697,0.33 %
REGION VII,CEBU,ASTURIAS,SENATOR,4,"ANDAMO, NARS ALYN",MKBYN,510,0.24 %
REGION VII,CEBU,ASTURIAS,SENATOR,5,"AQUINO, BAM",KNP,9609,4.54 %
REGION VII,CEBU,ASTURIAS,SENATOR,6,"ARAMBULO, RONNEL",MKBYN,886,0.42 %
REGION VII,CEBU,ASTURIAS,SENATOR,7,"ARELLANO, ERNESTO",KTPNAN,641,0.3 %
REGION VII,CEBU,ASTURIAS,SENATOR,8,"BALLON, ROBERTO",IND,883,0.42 %
REGION VII,CEBU,ASTURIAS,SENATOR,9,"BINAY, ABBY",NPC,4233,2 %
REGION VII,CEBU,ASTURIAS,SENATOR,10,"BONDOC, JIMMY",PDPLBN,8799,4.16 %
REGION VII,CEBU,ASTURIAS,SENATOR,11,"BONG REVILLA,RAMON, JR.",LAKAS,4480,2.12 %
REGION VII,CEBU,ASTURIAS,SENATOR,12,"BOSITA, COLONEL",IND,2788,1.32 %
REGION VII,CEBU,ASTURIAS,SENATOR,13,"BROSAS, ARLENE",MKBYN,908,0.43 %
REGION VII,CEBU,ASTURIAS,SENATOR,14,"CABONEGRO, ROY",DPP,447,0.21 %
REGION VII,CEBU,ASTURIAS,SENATOR,15,"CAPUYAN, ALLEN",PPP,605,0.29 %
REGION VII,CEBU,ASTURIAS,SENATOR,16,"CASIÑO, TEDDY",MKBYN,954,0.45 %
REGION VII,CEBU,ASTURIAS,SENATOR,17,"CASTRO, TEACHER FRANCE",MKBYN,1133,0.54 %
REGION VII,CEBU,ASTURIAS,SENATOR,18,"CAYETANO, PIA",NP,5991,2.83 %
REGION VII,CEBU,ASTURIAS,SENATOR,19,"D'ANGELO, DAVID",BUNYOG,441,0.21 %
REGION VII,CEBU,ASTURIAS,SENATOR,20,"DE ALBAN,ATTORNEY ANGELO",IND,974,0.46 %
REGION VII,CEBU,ASTURIAS,SENATOR,21,"DE GUZMAN, KA LEODY",PLM,1039,0.49 %
REGION VII,CEBU,ASTURIAS,SENATOR,22,"DELA ROSA, BATO",PDPLBN,14663,6.93 %
