region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VIII,NORTHERN SAMAR,LAS NAVAS,SENATOR,1,"ABALOS, BENHUR",PFP,4618,4.17 %
REGION VIII,NORTHERN SAMAR,LAS NAVAS,SENATOR,2,"ADONIS, JEROME",MKBYN,361,0.33 %
REGION VIII,NORTHERN SAMAR,LAS NAVAS,SENATOR,3,"AMAD, WILSON",IND,364,0.33 %
REGION VIII,NORTHERN SAMAR,LAS NAVAS,SENATOR,4,"ANDAMO, NARS ALYN",MKBYN,238,0.21 %
REGION VIII,NORTHERN SAMAR,LAS NAVAS,SENATOR,5,"AQUINO, BAM",KNP,5910,5.34 %
REGION VIII,NORTHERN SAMAR,LAS NAVAS,SENATOR,6,"ARAMBULO, RONNEL",MKBYN,478,0.43 %
REGION VIII,NORTHERN SAMAR,LAS NAVAS,SENATOR,7,"ARELLANO, ERNESTO",KTPNAN,358,0.32 %
REGION VIII,NORTHERN SAMAR,LAS NAVAS,SENATOR,8,"BALLON, ROBERTO",IND,711,0.64 %
REGION VIII,NORTHERN SAMAR,LAS NAVAS,SENATOR,9,"BINAY, ABBY",NPC,5340,4.82 %
REGION VIII,NORTHERN SAMAR,LAS NAVAS,SENATOR,10,"BONDOC, JIMMY",PDPLBN,1140,1.03 %
REGION VIII,NORTHERN SAMAR,LAS NAVAS,SENATOR,11,"BONG REVILLA,RAMON, JR.",LAKAS,5429,4.9 %
REGION VIII,NORTHERN SAMAR,LAS NAVAS,SENATOR,12,"BOSITA, COLONEL",IND,960,0.87 %
REGION VIII,NORTHERN SAMAR,LAS NAVAS,SENATOR,13,"BROSAS, ARLENE",MKBYN,439,0.4 %
REGION VIII,NORTHERN SAMAR,LAS NAVAS,SENATOR,14,"CABONEGRO, ROY",DPP,121,0.11 %
REGION VIII,NORTHERN SAMAR,LAS NAVAS,SENATOR,15,"CAPUYAN, ALLEN",PPP,248,0.22 %
REGION VIII,NORTHERN SAMAR,LAS NAVAS,SENATOR,16,"CASIÑO, TEDDY",MKBYN,705,0.64 %
REGION VIII,NORTHERN SAMAR,LAS NAVAS,SENATOR,17,"CASTRO, TEACHER FRANCE",MKBYN,573,0.52 %
REGION VIII,NORTHERN SAMAR,LAS NAVAS,SENATOR,18,"CAYETANO, PIA",NP,3279,2.96 %
REGION VIII,NORTHERN SAMAR,LAS NAVAS,SENATOR,19,"D'ANGELO, DAVID",BUNYOG,214,0.19 %
REGION VIII,NORTHERN SAMAR,LAS NAVAS,SENATOR,20,"DE ALBAN,ATTORNEY ANGELO",IND,438,0.4 %
REGION VIII,NORTHERN SAMAR,LAS NAVAS,SENATOR,21,"DE GUZMAN, KA LEODY",PLM,605,0.55 %
REGION VIII,NORTHERN SAMAR,LAS NAVAS,SENATOR,22,"DELA ROSA, BATO",PDPLBN,2954,2.67 %
REGION VIII,NORTHERN SAMAR,LAS NAVAS,SENATOR,23,"DORINGO, NANAY MIMI",MKBYN,261,0.24 %
