region,province,city,position,rank,candidate_name,party,votes,percentage
REGION X,LANAO DEL NORTE,BALOI,SENATOR,1,"ABALOS, BENHUR",PFP,1238,0.97 %
REGION X,LANAO DEL NORTE,BALOI,SENATOR,2,"ADONIS, JEROME",MKBYN,270,0.21 %
REGION X,LANAO DEL NORTE,BALOI,SENATOR,3,"AMAD, WILSON",IND,390,0.31 %
REGION X,LANAO DEL NORTE,BALOI,SENATOR,4,"ANDAMO, NARS ALYN",MKBYN,288,0.23 %
REGION X,LANAO DEL NORTE,BALOI,SENATOR,5,"AQUINO, BAM",KNP,3548,2.78 %
REGION X,LANAO DEL NORTE,BALOI,SENATOR,6,"ARAMBULO, RONNEL",MKBYN,668,0.52 %
REGION X,LANAO DEL NORTE,BALOI,SENATOR,7,"ARELLANO, ERNESTO",KTPNAN,304,0.24 %
REGION X,LANAO DEL NORTE,BALOI,SENATOR,8,"BALLON, ROBERTO",IND,574,0.45 %
REGION X,LANAO DEL NORTE,BALOI,SENATOR,9,"BINAY, ABBY",NPC,1907,1.49 %
REGION X,LANAO DEL NORTE,BALOI,SENATOR,10,"BONDOC, JIMMY",PDPLBN,7580,5.93 %
REGION X,LANAO DEL NORTE,BALOI,SENATOR,11,"BONG REVILLA,RAMON, JR.",LAKAS,1478,1.16 %
REGION X,LANAO DEL NORTE,BALOI,SENATOR,12,"BOSITA, COLONEL",IND,1268,0.99 %
REGION X,LANAO DEL NORTE,BALOI,SENATOR,13,"BROSAS, ARLENE",MKBYN,552,0.43 %
REGION X,LANAO DEL NORTE,BALOI,SENATOR,14,"CABONEGRO, ROY",DPP,248,0.19 %
REGION X,LANAO DEL NORTE,BALOI,SENATOR,15,"CAPUYAN, ALLEN",PPP,435,0.34 %
REGION X,LANAO DEL NORTE,BALOI,SENATOR,16,"CASIÑO, TEDDY",MKBYN,498,0.39 %
REGION X,LANAO DEL NORTE,BALOI,SENATOR,17,"CASTRO, TEACHER FRANCE",MKBYN,426,0.33 %
REGION X,LANAO DEL NORTE,BALOI,SENATOR,18,"CAYETANO, PIA",NP,2026,1.58 %
REGION X,LANAO DEL NORTE,BALOI,SENATOR,19,"D'ANGELO, DAVID",BUNYOG,225,0.18 %
