region,province,city,position,rank,candidate_name,party,votes,percentage
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,1,"ABALOS, BENHUR",PFP,1794,0.68 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,2,"ADONIS, JEROME",MKBYN,689,0.26 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,3,"AMAD, WILSON",IND,632,0.24 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,4,"ANDAMO, NARS ALYN",MKBYN,358,0.13 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,5,"AQUINO, BAM",KNP,4063,1.53 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,6,"ARAMBULO, RONNEL",MKBYN,491,0.19 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,7,"ARELLANO, ERNESTO",KTPNAN,435,0.16 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,8,"BALLON, ROBERTO",IND,509,0.19 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,9,"BINAY, ABBY",NPC,2619,0.99 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,10,"BONDOC, JIMMY",PDPLBN,15842,5.97 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,11,"BONG REVILLA,RAMON, JR.",LAKAS,6167,2.32 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,12,"BOSITA, COLONEL",IND,2290,0.86 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,13,"BROSAS, ARLENE",MKBYN,378,0.14 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,14,"CABONEGRO, ROY",DPP,302,0.11 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,15,"CAPUYAN, ALLEN",PPP,887,0.33 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,16,"CASIÑO, TEDDY",MKBYN,548,0.21 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,17,"CASTRO, TEACHER FRANCE",MKBYN,611,0.23 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,18,"CAYETANO, PIA",NP,5950,2.24 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,19,"D'ANGELO, DAVID",BUNYOG,358,0.13 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,20,"DE ALBAN,ATTORNEY ANGELO",IND,765,0.29 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,21,"DE GUZMAN, KA LEODY",PLM,615,0.23 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,22,"DELA ROSA, BATO",PDPLBN,25469,9.6 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,23,"DORINGO, NANAY MIMI",MKBYN,401,0.15 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,24,"ESCOBAL, ARNEL",PM,462,0.17 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,25,"ESPIRITU, LUKE",PLM,602,0.23 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,26,"FLORANDA, MODY PISTON",MKBYN,299,0.11 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,27,"GAMBOA, MARC LOUIE",IND,401,0.15 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,28,"GO, BONG GO",PDPLBN,27010,10.18 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,29,"GONZALES, NORBERTO",PDSP,606,0.23 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,30,"HINLO, JAYVEE",PDPLBN,12796,4.82 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,31,"HONASAN, GRINGO",RP,3399,1.28 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,32,"JOSE, RELLY JR.",KBL,353,0.13 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,33,"LACSON, PING",IND,4219,1.59 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,34,"LAMBINO, RAUL",PDPLBN,12861,4.85 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,35,"LAPID, LITO",NPC,6958,2.62 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,36,"LEE, MANOY WILBERT",AKSYON,293,0.11 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,37,"LIDASAN, AMIRAH",MKBYN,228,0.09 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,38,"MARCOLETA, RODANTE",IND,16066,6.06 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,39,"MARCOS, IMEE R.",NP,5142,1.94 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,40,"MARQUEZ, NORMAN",IND,546,0.21 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,41,"MARTINEZ, ERIC",IND,657,0.25 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,42,"MATA, DOC MARITES",IND,9802,3.69 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,43,"MATULA, ATTY. SONNY",WPP,598,0.23 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,44,"MAZA, LIZA",MKBYN,383,0.14 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,45,"MENDOZA, HEIDI",IND,1161,0.44 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,46,"MONTEMAYOR, JOEY",IND,582,0.22 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,47,"MUSTAPHA, SUBAIR",WPP,219,0.08 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,48,"OLIVAR, JOSE JESSIE",IND,311,0.12 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,49,"ONG, DOC WILLIE",AKSYON,2282,0.86 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,50,"PACQUIAO, MANNY PACMAN",PFP,3506,1.32 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,51,"PANGILINAN, KIKO",LP,2501,0.94 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,52,"QUERUBIN, ARIEL PORFIRIO",NP,2464,0.93 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,53,"QUIBOLOY, APOLLO",IND,12906,4.86 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,54,"RAMOS, DANILO",MKBYN,550,0.21 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,55,"REVILLAME, WILLIE WIL",IND,6288,2.37 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,56,"RODRIGUEZ, ATTY. VIC",IND,12131,4.57 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,57,"SAHIDULLA, NUR-ANA",IND,923,0.35 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,58,"SALVADOR, PHILLIP IPE",PDPLBN,18376,6.93 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,59,"SOTTO, TITO",NPC,2715,1.02 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,60,"TAPADO, MICHAEL BONGBONG",PM,449,0.17 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,61,"TOLENTINO, FRANCIS TOL",PFP,1378,0.52 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,62,"TULFO, BEN BITAG",IND,4198,1.58 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,63,"TULFO, ERWIN",LAKAS,6775,2.55 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,64,"VALBUENA, MAR MANIBELA",IND,344,0.13 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,65,"VERCELES, LEANDRO",IND,232,0.09 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,SENATOR,66,"VILLAR, CAMILLE",NP,9187,3.46 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,1 4PS,,1064,5.14 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,2 PPP,,1978,9.55 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,3 FPJ PANDAY BAYANIHAN,,121,0.58 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,4 KABATAAN,,87,0.42 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,5 DUTERTE YOUTH,,3795,18.33 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,6 ML,,41,0.2 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,7 PBBM,,83,0.4 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,8 P3PWD,,46,0.22 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,9 MURANG KURYENTE,,117,0.57 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,10 BICOL SARO,,18,0.09 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,11 IPATUPAD,,30,0.14 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,12 PATROL,,15,0.07 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,13 JUAN PINOY,,7,0.03 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,14 ARTE,,6,0.03 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,15 WIFI,,34,0.16 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,16 MAAGAP,,22,0.11 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,17 UNITED SENIOR CITIZENS,,128,0.62 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,18 EPANAW SAMBAYANAN,,85,0.41 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,19 AKO PADAYON,,7,0.03 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,20 TUCP,,28,0.14 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,21 ACT TEACHERS,,31,0.15 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,22 1PACMAN,,46,0.22 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,23 TGP,,25,0.12 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,24 DUMPER PTDA,,233,1.13 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,25 ANAKALUSUGAN,,2,0.01 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,26 AKSYON DAPAT,,21,0.1 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,27 BHW,,194,0.94 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,28 SULONG DIGNIDAD,,8,0.04 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,29 BATANG QUIAPO,,38,0.18 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,30 PBA,,77,0.37 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,31 GILAS,,30,0.14 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,32 AKO ILOCANO AKO,,2,0.01 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,33 PAMILYANG MAGSASAKA,,80,0.39 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,34 CLICK PARTY,,1,0 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,35 ABANTE BISDAK,,39,0.19 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,36 MANILA TEACHERS,,5,0.02 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,37 PAMANA,,4,0.02 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,38 NANAY,,8,0.04 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,39 KM NGAYON NA,,5,0.02 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,40 BABAE AKO,,111,0.54 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,41 ARISE,,7,0.03 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,42 MAGDALO,,21,0.1 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,43 APEC,,273,1.32 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,44 MAGBUBUKID,,498,2.4 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,45 SSS-GSIS PENSYONADO,,38,0.18 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,46 GABRIELA,,57,0.28 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,47 TINGOG,,964,4.66 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,48 APAT-DAPAT,,8,0.04 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,49 AHON MAHIRAP,,24,0.12 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,50 UGB,,38,0.18 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,51 AKBAYAN,,246,1.19 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,52 AGIMAT,,17,0.08 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,53 PHILRECA,,3,0.01 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,54 KAPUSO PM,,19,0.09 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,55 ILOCANO DEFENDERS,,6,0.03 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,56 1-RIDER PARTY-LIST,,35,0.17 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,57 TICTOK,,7,0.03 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,59 BAYAN MUNA,,43,0.21 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,60 ANG PROBINSIYANO,,22,0.11 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,61 BANAT,,7,0.03 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,62 SBP,,4,0.02 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,63 BUHAY,,22,0.11 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,64 TULUNGAN TAYO,,18,0.09 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,65 SAGIP,,37,0.18 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,66 BTS BAYANING TSUPER,,7,0.03 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,67 VENDORS,,11,0.05 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,68 ACT-CIS,,254,1.23 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,69 AKTIBONG KAAGAPAY,,8,0.04 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,70 ASENSO PINOY,,29,0.14 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,71 SOLO PARENTS,,21,0.1 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,72 ANG KOMADRONA,,3,0.01 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,73 PROMDI,,2,0.01 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,74 PUSONG PINOY,,8,0.04 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,75 KUSUG TAUSUG,,5,0.02 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,76 DAMAYANG FILIPINO,,4,0.02 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,77 MPBL,,10,0.05 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,78 ANGAT,,36,0.17 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,79 KALINGA,,16,0.08 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,80 BOSES PARTY-LIST,,85,0.41 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,81 ARANGKADA PILIPINO,,22,0.11 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,82 AANGAT TAYO,,138,0.67 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,83 OFW,,159,0.77 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,84 BIDA KATAGUMPAY,,7,0.03 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,85 KAMANGGAGAWA,,88,0.42 %
REGION XI,DAVAO ORIENTAL,GOVERNOR GENEROSO,PARTY LIST,,86 BFF,,9,0.04 %
