region,province,city,position,rank,candidate_name,party,votes,percentage
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,1,"ABALOS, BENHUR",PFP,1929,0.59 %
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,2,"ADONIS, JEROME",MKBYN,547,0.17 %
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,3,"AMAD, WILSON",IND,621,0.19 %
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,4,"ANDAMO, NARS ALYN",MKBYN,407,0.12 %
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,5,"AQUINO, BAM",KNP,5386,1.65 %
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,6,"ARAMBULO, RONNEL",MKBYN,547,0.17 %
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,7,"ARELLANO, ERNESTO",KTPNAN,577,0.18 %
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,8,"BALLON, ROBERTO",IND,570,0.17 %
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,9,"BINAY, ABBY",NPC,3334,1.02 %
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,10,"BONDOC, JIMMY",PDPLBN,20421,6.25 %
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,11,"BONG REVILLA,RAMON, JR.",LAKAS,6266,1.92 %
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,12,"BOSITA, COLONEL",IND,2956,0.9 %
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,13,"BROSAS, ARLENE",MKBYN,583,0.18 %
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,14,"CABONEGRO, ROY",DPP,371,0.11 %
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,15,"CAPUYAN, ALLEN",PPP,1037,0.32 %
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,16,"CASIÑO, TEDDY",MKBYN,593,0.18 %
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,17,"CASTRO, TEACHER FRANCE",MKBYN,762,0.23 %
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,18,"CAYETANO, PIA",NP,6591,2.02 %
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,19,"D'ANGELO, DAVID",BUNYOG,329,0.1 %
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,20,"DE ALBAN,ATTORNEY ANGELO",IND,841,0.26 %
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,21,"DE GUZMAN, KA LEODY",PLM,732,0.22 %
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,22,"DELA ROSA, BATO",PDPLBN,31410,9.61 %
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,23,"DORINGO, NANAY MIMI",MKBYN,396,0.12 %
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,24,"ESCOBAL, ARNEL",PM,509,0.16 %
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,25,"ESPIRITU, LUKE",PLM,860,0.26 %
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,26,"FLORANDA, MODY PISTON",MKBYN,284,0.09 %
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,27,"GAMBOA, MARC LOUIE",IND,450,0.14 %
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,28,"GO, BONG GO",PDPLBN,33711,10.31 %
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,29,"GONZALES, NORBERTO",PDSP,714,0.22 %
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,30,"HINLO, JAYVEE",PDPLBN,15647,4.79 %
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,31,"HONASAN, GRINGO",RP,5190,1.59 %
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,32,"JOSE, RELLY JR.",KBL,322,0.1 %
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,33,"LACSON, PING",IND,4738,1.45 %
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,34,"LAMBINO, RAUL",PDPLBN,16202,4.96 %
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,35,"LAPID, LITO",NPC,7189,2.2 %
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,36,"LEE, MANOY WILBERT",AKSYON,294,0.09 %
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,37,"LIDASAN, AMIRAH",MKBYN,297,0.09 %
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,38,"MARCOLETA, RODANTE",IND,20829,6.37 %
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,39,"MARCOS, IMEE R.",NP,7867,2.41 %
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,40,"MARQUEZ, NORMAN",IND,645,0.2 %
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,41,"MARTINEZ, ERIC",IND,748,0.23 %
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,42,"MATA, DOC MARITES",IND,12195,3.73 %
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,43,"MATULA, ATTY. SONNY",WPP,813,0.25 %
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,44,"MAZA, LIZA",MKBYN,534,0.16 %
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,45,"MENDOZA, HEIDI",IND,1332,0.41 %
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,46,"MONTEMAYOR, JOEY",IND,563,0.17 %
REGION XI,DAVAO ORIENTAL,LUPON,SENATOR,47,"MUSTAPHA, SUBAIR",WPP,330,0.1 %
