region,province,city,position,rank,candidate_name,party,votes,percentage
REGION XII,COTABATO,PIKIT,SENATOR,1,"ABALOS, BENHUR",PFP,1535,0.69 %
REGION XII,COTABATO,PIKIT,SENATOR,2,"ADONIS, JEROME",MKBYN,369,0.17 %
REGION XII,COTABATO,PIKIT,SENATOR,3,"AMAD, WILSON",IND,300,0.13 %
REGION XII,COTABATO,PIKIT,SENATOR,4,"ANDAMO, NARS ALYN",MKBYN,170,0.08 %
REGION XII,COTABATO,PIKIT,SENATOR,5,"AQUINO, BAM",KNP,3843,1.73 %
REGION XII,COTABATO,PIKIT,SENATOR,6,"ARAMBULO, RONNEL",MKBYN,563,0.25 %
REGION XII,COTABATO,PIKIT,SENATOR,7,"ARELLANO, ERNESTO",KTPNAN,220,0.1 %
REGION XII,COTABATO,PIKIT,SENATOR,8,"BALLON, ROBERTO",IND,284,0.13 %
REGION XII,COTABATO,PIKIT,SENATOR,9,"BINAY, ABBY",NPC,1989,0.89 %
REGION XII,COTABATO,PIKIT,SENATOR,10,"BONDOC, JIMMY",PDPLBN,17273,7.77 %
REGION XII,COTABATO,PIKIT,SENATOR,11,"BONG REVILLA,RAMON, JR.",LAKAS,3346,1.51 %
REGION XII,COTABATO,PIKIT,SENATOR,12,"BOSITA, COLONEL",IND,2017,0.91 %
REGION XII,COTABATO,PIKIT,SENATOR,13,"BROSAS, ARLENE",MKBYN,248,0.11 %
REGION XII,COTABATO,PIKIT,SENATOR,14,"CABONEGRO, ROY",DPP,200,0.09 %
REGION XII,COTABATO,PIKIT,SENATOR,15,"CAPUYAN, ALLEN",PPP,324,0.15 %
REGION XII,COTABATO,PIKIT,SENATOR,16,"CASIÑO, TEDDY",MKBYN,247,0.11 %
REGION XII,COTABATO,PIKIT,SENATOR,17,"CASTRO, TEACHER FRANCE",MKBYN,362,0.16 %
REGION XII,COTABATO,PIKIT,SENATOR,18,"CAYETANO, PIA",NP,1912,0.86 %
REGION XII,COTABATO,PIKIT,SENATOR,19,"D'ANGELO, DAVID",BUNYOG,101,0.05 %
REGION XII,COTABATO,PIKIT,SENATOR,20,"DE ALBAN,ATTORNEY ANGELO",IND,388,0.17 %
REGION XII,COTABATO,PIKIT,SENATOR,21,"DE GUZMAN, KA LEODY",PLM,322,0.14 %
REGION XII,COTABATO,PIKIT,SENATOR,22,"DELA ROSA, BATO",PDPLBN,24339,10.95 %
REGION XII,COTABATO,PIKIT,SENATOR,23,"DORINGO, NANAY MIMI",MKBYN,181,0.08 %
REGION XII,COTABATO,PIKIT,SENATOR,24,"ESCOBAL, ARNEL",PM,206,0.09 %
REGION XII,COTABATO,PIKIT,SENATOR,25,"ESPIRITU, LUKE",PLM,636,0.29 %
REGION XII,COTABATO,PIKIT,SENATOR,26,"FLORANDA, MODY PISTON",MKBYN,126,0.06 %
REGION XII,COTABATO,PIKIT,SENATOR,27,"GAMBOA, MARC LOUIE",IND,205,0.09 %
REGION XII,COTABATO,PIKIT,SENATOR,28,"GO, BONG GO",PDPLBN,23514,10.58 %
REGION XII,COTABATO,PIKIT,SENATOR,29,"GONZALES, NORBERTO",PDSP,391,0.18 %
REGION XII,COTABATO,PIKIT,SENATOR,30,"HINLO, JAYVEE",PDPLBN,12867,5.79 %
REGION XII,COTABATO,PIKIT,SENATOR,31,"HONASAN, GRINGO",RP,2839,1.28 %
REGION XII,COTABATO,PIKIT,SENATOR,32,"JOSE, RELLY JR.",KBL,155,0.07 %
REGION XII,COTABATO,PIKIT,SENATOR,33,"LACSON, PING",IND,2037,0.92 %
REGION XII,COTABATO,PIKIT,SENATOR,34,"LAMBINO, RAUL",PDPLBN,14571,6.55 %
REGION XII,COTABATO,PIKIT,SENATOR,35,"LAPID, LITO",NPC,3799,1.71 %
REGION XII,COTABATO,PIKIT,SENATOR,36,"LEE, MANOY WILBERT",AKSYON,114,0.05 %
REGION XII,COTABATO,PIKIT,SENATOR,37,"LIDASAN, AMIRAH",MKBYN,424,0.19 %
REGION XII,COTABATO,PIKIT,SENATOR,38,"MARCOLETA, RODANTE",IND,15450,6.95 %
REGION XII,COTABATO,PIKIT,SENATOR,39,"MARCOS, IMEE R.",NP,7968,3.58 %
REGION XII,COTABATO,PIKIT,SENATOR,40,"MARQUEZ, NORMAN",IND,281,0.13 %
